"DisMod II input and output, database Brazil","","","","","","","","","","","",""
"Females, Disease: CHD (Rates * ), sex: Females","","","","","","","","","","","",""
"Written 10/01/2019, 10:00:46","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"0","0.0002","0.0011","0.0000","0.0000","0.0002","0.0012","0.0000","0.0000","51.3252","0.0000","1.0294","0.5000"
"1","0.0022","0.0012","0.0000","0.0000","0.0011","0.0019","0.0000","0.0000","50.3362","0.0000","1.0294","1.5000"
"2","0.0009","0.0013","0.0000","0.0000","0.0006","0.0028","0.0000","0.0000","49.3469","0.0000","1.0293","2.5000"
"3","0.0000","0.0014","0.0000","0.0001","0.0000","0.0030","0.0000","0.0436","49.4266","0.0001","209.1524","3.5000"
"4","0.0000","0.0016","0.0000","0.0002","0.0000","0.0028","0.0000","0.0881","51.7617","0.0002","421.9612","4.5000"
"5","0.0000","0.0017","0.0000","0.0002","0.0000","0.0026","0.0000","0.0843","55.3740","0.0002","404.0550","5.5000"
"6","0.0000","0.0018","0.0000","0.0001","0.0000","0.0025","0.0000","0.0519","58.2386","0.0001","249.1500","6.5000"
"7","0.0001","0.0020","0.0000","0.0000","0.0001","0.0024","0.0000","0.0145","59.1960","0.0000","70.3059","7.5000"
"8","0.0003","0.0022","0.0000","0.0000","0.0003","0.0026","0.0000","0.0000","58.6368","0.0000","1.0293","8.5000"
"9","0.0004","0.0024","0.0000","0.0000","0.0004","0.0030","0.0000","0.0000","57.6494","0.0000","1.0289","9.5000"
"10","0.0004","0.0025","0.0000","0.0000","0.0004","0.0034","0.0000","0.0000","56.6621","0.0000","1.0281","10.5000"
"11","0.0003","0.0028","0.0000","0.0000","0.0003","0.0038","0.0000","0.0000","55.6750","0.0000","1.0267","11.5000"
"12","0.0002","0.0030","0.0000","0.0000","0.0002","0.0041","0.0000","0.0000","54.6886","0.0000","1.0245","12.5000"
"13","0.0002","0.0032","0.0000","0.0000","0.0002","0.0043","0.0000","0.0018","53.7517","0.0000","7.3931","13.5000"
"14","0.0001","0.0035","0.0000","0.0000","0.0001","0.0045","0.0000","0.0033","52.9040","0.0000","11.2342","14.5000"
"15","0.0001","0.0038","0.0000","0.0000","0.0001","0.0047","0.0000","0.0033","52.0951","0.0000","9.6786","15.5000"
"16","0.0002","0.0041","0.0000","0.0000","0.0002","0.0048","0.0000","0.0023","51.2601","0.0000","6.3736","16.5000"
"17","0.0002","0.0045","0.0000","0.0000","0.0002","0.0050","0.0000","0.0012","50.3716","0.0000","3.4069","17.5000"
"18","0.0002","0.0048","0.0000","0.0000","0.0002","0.0053","0.0000","0.0003","49.4318","0.0000","1.5066","18.5000"
"19","0.0002","0.0053","0.0000","0.0000","0.0002","0.0055","0.0000","0.0000","48.4640","0.0000","1.0115","19.5000"
"20","0.0002","0.0057","0.0000","0.0000","0.0002","0.0058","0.0000","0.0000","47.4899","0.0000","1.0114","20.5000"
"21","0.0002","0.0062","0.0000","0.0000","0.0002","0.0060","0.0000","0.0002","46.5190","0.0000","1.2822","21.5000"
"22","0.0002","0.0067","0.0000","0.0000","0.0002","0.0063","0.0000","0.0006","45.5603","0.0000","2.0387","22.5000"
"23","0.0002","0.0072","0.0000","0.0000","0.0002","0.0065","0.0000","0.0009","44.6186","0.0000","2.6893","23.5000"
"24","0.0002","0.0078","0.0000","0.0000","0.0002","0.0068","0.0000","0.0012","43.6899","0.0000","3.0640","24.5000"
"25","0.0002","0.0084","0.0000","0.0000","0.0002","0.0071","0.0000","0.0013","42.7682","0.0000","3.1461","25.5000"
"26","0.0003","0.0091","0.0000","0.0000","0.0003","0.0074","0.0000","0.0013","41.8481","0.0000","3.0282","26.5000"
"27","0.0003","0.0098","0.0000","0.0000","0.0003","0.0077","0.0000","0.0012","40.9268","0.0000","2.8434","27.5000"
"28","0.0003","0.0106","0.0000","0.0000","0.0003","0.0080","0.0000","0.0012","40.0042","0.0000","2.7067","28.5000"
"29","0.0003","0.0115","0.0000","0.0000","0.0003","0.0084","0.0000","0.0013","39.0828","0.0000","2.6832","29.5000"
"30","0.0003","0.0124","0.0000","0.0000","0.0003","0.0087","0.0000","0.0015","38.1662","0.0000","2.7849","30.5000"
"31","0.0004","0.0134","0.0000","0.0000","0.0004","0.0091","0.0000","0.0017","37.2582","0.0000","2.9866","31.5000"
"32","0.0004","0.0144","0.0000","0.0000","0.0004","0.0095","0.0000","0.0021","36.3620","0.0000","3.2474","32.5000"
"33","0.0004","0.0155","0.0000","0.0000","0.0004","0.0099","0.0000","0.0025","35.4793","0.0000","3.5270","33.5000"
"34","0.0004","0.0167","0.0000","0.0000","0.0004","0.0103","0.0000","0.0030","34.6105","0.0000","3.7912","34.5000"
