"DisMod II input and output, database Brazil","","","","","","","","","","","",""
"Males, Disease: CHD (Rates * ), sex: Males","","","","","","","","","","","",""
"Written 10/01/2019, 10:21:04","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"0","0.0000","0.0002","0.0000","0.0000","0.0000","0.0002","0.0000","0.0000","54.2975","0.0000","1.0218","0.5000"
"1","0.0009","0.0002","0.0000","0.0000","0.0000","0.0002","0.0000","0.0000","53.3130","0.0000","1.0219","1.5000"
"2","0.0006","0.0002","0.0000","0.0000","0.0001","0.0003","0.0000","0.0000","52.3282","0.0000","1.0219","2.5000"
"3","0.0002","0.0003","0.0000","0.0000","0.0001","0.0003","0.0000","0.0161","51.7590","0.0000","58.2455","3.5000"
"4","0.0000","0.0003","0.0000","0.0000","0.0000","0.0004","0.0000","0.0322","52.0244","0.0000","115.5082","4.5000"
"5","0.0001","0.0003","0.0000","0.0000","0.0001","0.0004","0.0000","0.0306","52.6815","0.0000","109.6659","5.5000"
"6","0.0002","0.0004","0.0000","0.0000","0.0001","0.0005","0.0000","0.0182","52.9848","0.0000","65.6756","6.5000"
"7","0.0004","0.0004","0.0000","0.0000","0.0000","0.0005","0.0000","0.0059","52.6366","0.0000","21.9838","7.5000"
"8","0.0005","0.0005","0.0000","0.0000","0.0001","0.0006","0.0000","0.0000","51.8059","0.0000","1.0219","8.5000"
"9","0.0006","0.0005","0.0000","0.0000","0.0001","0.0006","0.0000","0.0000","50.8207","0.0000","1.0216","9.5000"
"10","0.0006","0.0006","0.0000","0.0000","0.0001","0.0007","0.0000","0.0000","49.8358","0.0000","1.0205","10.5000"
"11","0.0006","0.0006","0.0000","0.0000","0.0001","0.0009","0.0000","0.0000","48.8518","0.0000","1.0183","11.5000"
"12","0.0005","0.0007","0.0000","0.0000","0.0001","0.0010","0.0000","0.0000","47.8700","0.0000","1.0151","12.5000"
"13","0.0005","0.0008","0.0000","0.0000","0.0002","0.0011","0.0000","0.0025","46.9515","0.0000","5.6564","13.5000"
"14","0.0005","0.0009","0.0000","0.0000","0.0002","0.0013","0.0000","0.0041","46.1353","0.0000","6.4501","14.5000"
"15","0.0005","0.0010","0.0000","0.0000","0.0002","0.0015","0.0000","0.0049","45.3834","0.0000","5.5454","15.5000"
"16","0.0005","0.0012","0.0000","0.0000","0.0002","0.0017","0.0000","0.0052","44.6680","0.0000","4.4275","16.5000"
"17","0.0005","0.0013","0.0000","0.0000","0.0002","0.0019","0.0000","0.0052","43.9742","0.0000","3.6249","17.5000"
"18","0.0005","0.0015","0.0000","0.0000","0.0003","0.0022","0.0000","0.0052","43.2940","0.0000","3.1905","18.5000"
"19","0.0006","0.0016","0.0000","0.0000","0.0003","0.0025","0.0000","0.0052","42.6218","0.0000","3.0047","19.5000"
"20","0.0006","0.0018","0.0000","0.0000","0.0003","0.0028","0.0000","0.0053","41.9536","0.0000","2.9702","20.5000"
"21","0.0006","0.0021","0.0000","0.0000","0.0004","0.0031","0.0000","0.0054","41.2858","0.0000","3.0171","21.5000"
"22","0.0007","0.0023","0.0000","0.0000","0.0004","0.0035","0.0000","0.0054","40.6149","0.0000","3.0821","22.5000"
"23","0.0007","0.0026","0.0000","0.0000","0.0004","0.0039","0.0000","0.0054","39.9380","0.0000","3.1128","23.5000"
"24","0.0007","0.0029","0.0000","0.0000","0.0005","0.0044","0.0000","0.0054","39.2526","0.0000","3.0962","24.5000"
"25","0.0008","0.0033","0.0000","0.0000","0.0005","0.0049","0.0000","0.0052","38.5562","0.0000","3.0394","25.5000"
"26","0.0008","0.0037","0.0000","0.0000","0.0006","0.0055","0.0000","0.0050","37.8474","0.0000","2.9597","26.5000"
"27","0.0009","0.0041","0.0000","0.0000","0.0006","0.0061","0.0000","0.0048","37.1266","0.0000","2.8789","27.5000"
"28","0.0010","0.0046","0.0000","0.0000","0.0007","0.0068","0.0000","0.0047","36.3955","0.0000","2.8168","28.5000"
"29","0.0010","0.0052","0.0000","0.0000","0.0008","0.0076","0.0000","0.0047","35.6575","0.0000","2.7872","29.5000"
"30","0.0011","0.0058","0.0000","0.0000","0.0008","0.0084","0.0000","0.0048","34.9167","0.0000","2.7959","30.5000"
"31","0.0012","0.0065","0.0000","0.0000","0.0009","0.0093","0.0000","0.0050","34.1771","0.0000","2.8414","31.5000"
"32","0.0012","0.0073","0.0000","0.0001","0.0010","0.0103","0.0000","0.0053","33.4425","0.0001","2.9162","32.5000"
"33","0.0013","0.0081","0.0000","0.0001","0.0011","0.0113","0.0000","0.0057","32.7157","0.0001","3.0094","33.5000"
"34","0.0014","0.0091","0.0000","0.0001","0.0012","0.0125","0.0000","0.0062","31.9988","0.0001","3.1089","34.5000"
"35","0.0014","0.0101","0.0000","0.0001","0.0012","0.0137","0.0000","0.0066","31.2926","0.0001","3.2036","35.5000"
"36","0.0015","0.0113","0.0000","0.0001","0.0013","0.0150","0.0000","0.0071","30.5974","0.0001","3.2848","36.5000"
"37","0.0016","0.0126","0.0000","0.0001","0.0015","0.0163","0.0000","0.0076","29.9129","0.0001","3.3465","37.5000"
"38","0.0018","0.0140","0.0000","0.0001","0.0016","0.0178","0.0000","0.0081","29.2384","0.0001","3.3862","38.5000"
"39","0.0019","0.0156","0.0000","0.0002","0.0018","0.0195","0.0000","0.0085","28.5731","0.0002","3.4041","39.5000"
"40","0.0021","0.0173","0.0000","0.0002","0.0020","0.0213","0.0000","0.0089","27.9164","0.0002","3.4025","40.5000"
"41","0.0024","0.0191","0.0000","0.0002","0.0022","0.0233","0.0000","0.0093","27.2678","0.0002","3.3846","41.5000"
"42","0.0027","0.0212","0.0000","0.0002","0.0025","0.0256","0.0000","0.0097","26.6267","0.0002","3.3537","42.5000"
"43","0.0030","0.0234","0.0000","0.0003","0.0028","0.0281","0.0000","0.0101","25.9931","0.0003","3.3126","43.5000"
"44","0.0034","0.0258","0.0000","0.0003","0.0031","0.0309","0.0000","0.0106","25.3670","0.0003","3.2635","44.5000"
"45","0.0038","0.0284","0.0000","0.0004","0.0035","0.0341","0.0000","0.0110","24.7485","0.0004","3.2080","45.5000"
"46","0.0042","0.0312","0.0000","0.0004","0.0039","0.0375","0.0000","0.0114","24.1375","0.0004","3.1469","46.5000"
"47","0.0045","0.0342","0.0000","0.0005","0.0042","0.0412","0.0000","0.0118","23.5341","0.0005","3.0807","47.5000"
"48","0.0049","0.0374","0.0000","0.0006","0.0046","0.0453","0.0000","0.0122","22.9380","0.0006","3.0099","48.5000"
"49","0.0053","0.0408","0.0000","0.0006","0.0049","0.0496","0.0000","0.0126","22.3491","0.0006","2.9351","49.5000"
"50","0.0056","0.0443","0.0000","0.0007","0.0052","0.0541","0.0000","0.0130","21.7672","0.0007","2.8570","50.5000"
"51","0.0060","0.0481","0.0000","0.0008","0.0055","0.0589","0.0000","0.0134","21.1918","0.0008","2.7768","51.5000"
"52","0.0063","0.0520","0.0000","0.0009","0.0058","0.0639","0.0000","0.0138","20.6228","0.0009","2.6955","52.5000"
"53","0.0066","0.0560","0.0000","0.0010","0.0061","0.0691","0.0000","0.0141","20.0598","0.0010","2.6147","53.5000"
"54","0.0068","0.0601","0.0000","0.0011","0.0064","0.0744","0.0000","0.0145","19.5026","0.0011","2.5357","54.5000"
"55","0.0071","0.0644","0.0000","0.0012","0.0066","0.0799","0.0000","0.0148","18.9512","0.0012","2.4597","55.5000"
"56","0.0074","0.0687","0.0000","0.0013","0.0069","0.0856","0.0000","0.0152","18.4053","0.0013","2.3878","56.5000"
"57","0.0077","0.0730","0.0000","0.0014","0.0072","0.0914","0.0000","0.0155","17.8648","0.0014","2.3204","57.5000"
"58","0.0081","0.0774","0.0000","0.0015","0.0075","0.0974","0.0000","0.0159","17.3294","0.0015","2.2579","58.5000"
"59","0.0084","0.0817","0.0000","0.0017","0.0078","0.1035","0.0000","0.0162","16.7988","0.0017","2.1997","59.5000"
"60","0.0088","0.0860","0.0000","0.0018","0.0082","0.1098","0.0000","0.0166","16.2724","0.0018","2.1452","60.5000"
"61","0.0093","0.0901","0.0000","0.0020","0.0086","0.1163","0.0000","0.0169","15.7497","0.0020","2.0938","61.5000"
"62","0.0097","0.0942","0.0000","0.0021","0.0090","0.1230","0.0000","0.0172","15.2301","0.0021","2.0452","62.5000"
"63","0.0102","0.0982","0.0000","0.0023","0.0094","0.1299","0.0000","0.0176","14.7128","0.0023","1.9985","63.5000"
"64","0.0107","0.1020","0.0000","0.0024","0.0098","0.1370","0.0000","0.0179","14.1977","0.0024","1.9518","64.5000"
"65","0.0112","0.1056","0.0000","0.0026","0.0102","0.1443","0.0000","0.0182","13.6849","0.0026","1.9033","65.5000"
"66","0.0117","0.1091","0.0000","0.0028","0.0106","0.1517","0.0000","0.0185","13.1759","0.0028","1.8520","66.5000"
"67","0.0123","0.1124","0.0000","0.0030","0.0110","0.1592","0.0000","0.0189","12.6733","0.0030","1.7972","67.5000"
"68","0.0129","0.1155","0.0000","0.0032","0.0114","0.1669","0.0000","0.0193","12.1805","0.0032","1.7402","68.5000"
"69","0.0136","0.1184","0.0000","0.0035","0.0119","0.1748","0.0000","0.0198","11.7010","0.0035","1.6872","69.5000"
"70","0.0143","0.1210","0.0000","0.0037","0.0123","0.1828","0.0000","0.0204","11.2360","0.0037","1.6438","70.5000"
"71","0.0150","0.1235","0.0000","0.0040","0.0128","0.1908","0.0000","0.0210","10.7834","0.0040","1.6134","71.5000"
"72","0.0158","0.1259","0.0000","0.0043","0.0133","0.1990","0.0000","0.0217","10.3368","0.0043","1.5988","72.5000"
"73","0.0166","0.1280","0.0000","0.0046","0.0137","0.2072","0.0000","0.0224","9.8867","0.0046","1.5990","73.5000"
"74","0.0173","0.1299","0.0000","0.0049","0.0140","0.2153","0.0000","0.0230","9.4258","0.0050","1.5993","74.5000"
"75","0.0180","0.1317","0.0000","0.0052","0.0143","0.2235","0.0000","0.0235","8.9552","0.0053","1.5822","75.5000"
"76","0.0188","0.1333","0.0000","0.0055","0.0147","0.2316","0.0000","0.0240","8.4866","0.0055","1.5346","76.5000"
"77","0.0199","0.1348","0.0000","0.0058","0.0151","0.2397","0.0000","0.0244","8.0460","0.0059","1.4545","77.5000"
"78","0.0219","0.1362","0.0000","0.0063","0.0159","0.2479","0.0000","0.0254","7.6799","0.0063","1.3615","78.5000"
"79","0.0260","0.1374","0.0000","0.0071","0.0173","0.2564","0.0000","0.0278","7.4434","0.0071","1.2999","79.5000"
"80+","0.0339","0.1385","0.0000","0.0087","0.0186","0.2649","0.0000","0.0332","7.3631","0.0088","1.2980","88.3522"
"","","","","","","","","","","","",""
"All ages","NA","0.0240","NA","0.0006","0.0027","0.0336","0.0000","0.0178","18.2094","0.0006","2.0374","58.0021"
