agegroup,sex,mean.rr,ci.rr
30-34,1,0.833171816,0.94016574444
35-39,1,0.717029548,0.79852723784
40-44,1,0.717029548,0.79852723784
45-49,1,0.601747156,0.65852553752
50-54,1,0.601747156,0.65852553752
55-59,1,0.487577141,0.52289456524
60-64,1,0.487577141,0.52289456524
65-69,1,0.36791996,0.40642985968
70-74,1,0.36791996,0.40642985968
75-79,1,0.2468601,0.3001046
80-84,1,0.2468601,0.3001046
30-34,2,0.833171816,0.94016574444
35-39,2,0.717029548,0.79852723784
40-44,2,0.717029548,0.79852723784
45-49,2,0.601747156,0.65852553752
50-54,2,0.601747156,0.65852553752
55-59,2,0.487577141,0.52289456524
60-64,2,0.487577141,0.52289456524
65-69,2,0.36791996,0.40642985968
70-74,2,0.36791996,0.40642985968
75-79,2,0.2468601,0.3001046
80-84,2,0.2468601,0.3001046
