"DisMod II input and output, database Brazil","","","","","","","","","","","",""
"Females, Disease: Stroke (Rates * ), sex: Females","","","","","","","","","","","",""
"Written 10/01/2019, 09:57:40","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"0","0.0000879086","0.0001692128","0.0000000000","0.0000000000","0.0000823546","0.0002103808","0.0000000000","0.0000061425","8.6693250309","0.0000000013","1.0293833457","0.5000000000"
"1","0.0011097673","0.0001853194","0.0000000000","0.0003115660","0.0002742786","0.0002319341","0.0000000000","1.3862562043","16.8390496157","0.0003151706","6624.9206796233","1.5000000000"
"2","0.0004606930","0.0002029553","0.0000000000","0.0001132099","0.0002558909","0.0002824847","0.0000000000","0.3965868507","36.8770330827","0.0001138873","1895.4256332353","2.5000000000"
"3","0.0000000000","0.0002222650","0.0000000000","0.0000000000","0.0000056420","0.0003574535","0.0000000000","0.0000061425","43.6456744574","0.0000000022","1.0293476887","3.5000000000"
"4","0.0000000000","0.0002434064","0.0000000000","0.0000000000","0.0000057575","0.0003643744","0.0000000000","0.0000061423","42.6549691121","0.0000000022","1.0293583669","4.5000000000"
"5","0.0000000000","0.0002665522","0.0000000000","0.0000000000","0.0000058566","0.0003714653","0.0000000000","0.0000061425","41.6640470795","0.0000000023","1.0293684124","5.5000000000"
"6","0.0000000000","0.0002918912","0.0000000000","0.0000000000","0.0000059410","0.0003787124","0.0000000000","0.0000061425","40.6729107680","0.0000000023","1.0293653763","6.5000000000"
"7","0.0000000000","0.0003196295","0.0000000000","0.0000000000","0.0000060111","0.0003861027","0.0000000000","0.0000061424","39.6815649168","0.0000000024","1.0293411133","7.5000000000"
"8","0.0001326548","0.0003499927","0.0000000000","0.0000203343","0.0001259515","0.0004433723","0.0000000000","0.0458405446","39.5939163458","0.0000203430","219.3024942022","8.5000000000"
"9","0.0001886039","0.0003832266","0.0000000000","0.0000374234","0.0001668159","0.0005632465","0.0000000000","0.0664410285","40.8597124843","0.0000374704","313.6977235526","9.5000000000"
"10","0.0001808922","0.0004196003","0.0000000000","0.0000354084","0.0001556392","0.0006914932","0.0000000000","0.0512438528","42.3132166768","0.0000354612","235.4608617718","10.5000000000"
"11","0.0001398077","0.0004594069","0.0000000000","0.0000236321","0.0001237639","0.0008061296","0.0000000000","0.0293376780","43.0414357675","0.0000236572","128.3814801417","11.5000000000"
"12","0.0000925306","0.0005029668","0.0000000000","0.0000103154","0.0000858286","0.0008993196","0.0000000000","0.0114743021","42.9298632121","0.0000103199","46.7953693204","12.5000000000"
"13","0.0000565483","0.0005506292","0.0000000000","0.0000006130","0.0000543393","0.0009700561","0.0000000000","0.0006319381","42.2001836313","0.0000006130","3.2376424915","13.5000000000"
"14","0.0000388080","0.0006027749","0.0000000000","0.0000000000","0.0000379387","0.0010225932","0.0000000000","0.0000061425","41.2262538903","0.0000000063","1.0188668039","14.5000000000"
"15","0.0000381251","0.0006598192","0.0000000000","0.0000000000","0.0000374455","0.0010674190","0.0000000000","0.0000061424","40.2408120453","0.0000000066","1.0162762962","15.5000000000"
"16","0.0000487572","0.0007222142","0.0000000000","0.0000011748","0.0000478580","0.0011170387","0.0000000000","0.0010517401","39.2777379036","0.0000011748","3.4323321887","16.5000000000"
"17","0.0000637404","0.0007904525","0.0000000000","0.0000061041","0.0000624859","0.0011766296","0.0000000000","0.0051882005","38.4159000778","0.0000061047","11.7760658889","17.5000000000"
"18","0.0000772571","0.0008650701","0.0000000000","0.0000103134","0.0000757410","0.0012461560","0.0000000000","0.0082770805","37.6902926941","0.0000103149","17.0830767598","18.5000000000"
"19","0.0000858397","0.0009466497","0.0000000000","0.0000128548","0.0000842909","0.0013238373","0.0000000000","0.0097112524","37.0453143564","0.0000128567","19.2530748435","19.5000000000"
"20","0.0000885573","0.0010358249","0.0000000000","0.0000135683","0.0000872048","0.0014062992","0.0000000000","0.0096490700","36.4200821062","0.0000135701","18.9190721921","20.5000000000"
"21","0.0000865077","0.0011332836","0.0000000000","0.0000128945","0.0000854697","0.0014899444","0.0000000000","0.0086548794","35.7695515847","0.0000128957","17.0228894366","21.5000000000"
"22","0.0000819710","0.0012397723","0.0000000000","0.0000115926","0.0000812453","0.0015724095","0.0000000000","0.0073727780","35.0723548031","0.0000115933","14.5619228146","22.5000000000"
"23","0.0000775332","0.0013561003","0.0000000000","0.0000104615","0.0000770507","0.0016516042","0.0000000000","0.0063342631","34.3289976074","0.0000104619","12.4256264949","23.5000000000"
"24","0.0000753908","0.0014831439","0.0000000000","0.0000101285","0.0000750738","0.0017290745","0.0000000000","0.0058578087","33.5547621984","0.0000101288","11.2232998696","24.5000000000"
"25","0.0000769412","0.0016218512","0.0000000000","0.0000109362","0.0000767333","0.0018067643","0.0000000000","0.0060529114","32.7713125503","0.0000109364","11.1066675397","25.5000000000"
"26","0.0000826716","0.0017732466","0.0000000000","0.0000129277","0.0000825478","0.0018874085","0.0000000000","0.0068493884","31.9996579316","0.0000129279","11.8426776427","26.5000000000"
"27","0.0000922921","0.0019384352","0.0000000000","0.0000159096","0.0000922520","0.0019739638","0.0000000000","0.0080595371","31.2553910261","0.0000159097","13.0123191667","27.5000000000"
"28","0.0001050227","0.0021186079","0.0000000000","0.0000195594","0.0001050834","0.0020691525","0.0000000000","0.0094524921","30.5466439363","0.0000195593","14.2007662404","28.5000000000"
"29","0.0001199334","0.0023150454","0.0000000000","0.0000235449","0.0001201217","0.0021743338","0.0000000000","0.0108279292","29.8745374047","0.0000235445","15.1271197865","29.5000000000"
"30","0.0001362540","0.0025291230","0.0000000000","0.0000276251","0.0001365990","0.0022909458","0.0000000000","0.0120574736","29.2352664633","0.0000276244","15.6801376360","30.5000000000"
"31","0.0001535922","0.0027623141","0.0000000000","0.0000317148","0.0001541203","0.0024203012","0.0000000000","0.0131024417","28.6227987623","0.0000317136","15.8967888525","31.5000000000"
"32","0.0001720334","0.0030161942","0.0000000000","0.0000359038","0.0001727677","0.0025636956","0.0000000000","0.0140031368","28.0314005647","0.0000359020","15.9047347464","32.5000000000"
"33","0.0001921239","0.0032924437","0.0000000000","0.0000404338","0.0001930913","0.0027226598","0.0000000000","0.0148489568","27.4573805549","0.0000404315","15.8509086522","33.5000000000"
"34","0.0002147631","0.0035928495","0.0000000000","0.0000456440","0.0002160001","0.0028991606","0.0000000000","0.0157415657","26.8998199372","0.0000456409","15.8264943449","34.5000000000"
"35","0.0002410411","0.0039193070","0.0000000000","0.0000518994","0.0002425932","0.0030957752","0.0000000000","0.0167618595","26.3603269080","0.0000518955","15.8701071921","35.5000000000"
"36","0.0002720651","0.0042738192","0.0000000000","0.0000595203","0.0002740000","0.0033157100","0.0000000000","0.0179476908","25.8420700860","0.0000595152","15.9679495178","36.5000000000"
"37","0.0003088085","0.0046584949","0.0000000000","0.0000687246","0.0003112059","0.0035628854","0.0000000000","0.0192850486","25.3484962047","0.0000687181","16.0587649332","37.5000000000"
"38","0.0003520074","0.0050755454","0.0000000000","0.0000795954","0.0003549624","0.0038419659","0.0000000000","0.0207125752","24.8820979458","0.0000795870","16.0586615682","38.5000000000"
"39","0.0004021148","0.0055272784","0.0000000000","0.0000920764","0.0004057233","0.0041582414","0.0000000000","0.0221374646","24.4434910404","0.0000920660","15.9087351785","39.5000000000"
"40","0.0004593076","0.0060160889","0.0000000000","0.0001059947","0.0004636529","0.0045174856","0.0000000000","0.0234566900","24.0309823797","0.0001059820","15.5729885865","40.5000000000"
"41","0.0005235314","0.0065444486","0.0000000000","0.0001211032","0.0005286815","0.0049257984","0.0000000000","0.0245781679","23.6406720022","0.0001210881","15.0423582844","41.5000000000"
"42","0.0005945640","0.0071148898","0.0000000000","0.0001371350","0.0006005532","0.0053894376","0.0000000000","0.0254371366","23.2669706826","0.0001371174","14.3363942957","42.5000000000"
"43","0.0006720752","0.0077299872","0.0000000000","0.0001538578","0.0006788938","0.0059146444","0.0000000000","0.0260046533","22.9033586117","0.0001538386","13.4976994092","43.5000000000"
"44","0.0007556682","0.0083923347","0.0000000000","0.0001711190","0.0007632545","0.0065074718","0.0000000000","0.0262870834","22.5431860400","0.0001710975","12.5830946937","44.5000000000"
"45","0.0008448954","0.0091045173","0.0000000000","0.0001888734","0.0008531475","0.0071736163","0.0000000000","0.0263202509","22.1803662747","0.0001888510","11.6503005837","45.5000000000"
"46","0.0009392530","0.0098690790","0.0000000000","0.0002071925","0.0009480083","0.0079182339","0.0000000000","0.0261580079","21.8098557130","0.0002071690","10.7486532184","46.5000000000"
"47","0.0010381657","0.0106884849","0.0000000000","0.0002262524","0.0010472473","0.0087457696","0.0000000000","0.0258617967","21.4278767235","0.0002262289","9.9153270624","47.5000000000"
"48","0.0011409811","0.0115650786","0.0000000000","0.0002463084","0.0011501584","0.0096597886","0.0000000000","0.0254906218","21.0319286762","0.0002462851","9.1693138270","48.5000000000"
"49","0.0012469944","0.0125010348","0.0000000000","0.0002676603","0.0012560416","0.0106628551","0.0000000000","0.0250948944","20.6207155551","0.0002676377","8.5010820588","49.5000000000"
"50","0.0013555181","0.0134983066","0.0000000000","0.0002906183","0.0013641840","0.0117564980","0.0000000000","0.0247130267","20.1940028062","0.0002905963","7.8952334553","50.5000000000"
"51","0.0014660011","0.0145585696","0.0000000000","0.0003154768","0.0014740898","0.0129413094","0.0000000000","0.0243712435","19.7523808854","0.0003154566","7.3369544897","51.5000000000"
"52","0.0015781900","0.0156831624","0.0000000000","0.0003425012","0.0015855016","0.0142171897","0.0000000000","0.0240848068","19.2970348975","0.0003424822","6.8125348231","52.5000000000"
"53","0.0016923069","0.0168730251","0.0000000000","0.0003719302","0.0016986870","0.0155837474","0.0000000000","0.0238611298","18.8295440025","0.0003719132","6.3143715336","53.5000000000"
"54","0.0018092053","0.0181286379","0.0000000000","0.0004039926","0.0018145237","0.0170408733","0.0000000000","0.0237022517","18.3516102156","0.0004039780","5.8509609395","54.5000000000"
