"DisMod II input and output, database Brazil","","","","","","","","","","","",""
"Males, Disease: Stroke (Rates * ), sex: Males","","","","","","","","","","","",""
"Written 10/01/2019, 09:36:46","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"0","0.0000981535","0.0002407823","0.0000000000","0.0000000000","0.0000942412","0.0002878885","0.0000000000","0.0000061424","7.0078504734","0.0000000018","1.0217968947","0.5000000000"
"1","0.0019977375","0.0002623341","0.0000000000","0.0004676202","0.0004330569","0.0003163206","0.0000000000","1.5160523224","14.3699670988","0.0004723107","5398.6539033278","1.5000000000"
"2","0.0007902482","0.0002858106","0.0000000000","0.0001700596","0.0003695988","0.0003959238","0.0000000000","0.4246995232","33.4265275743","0.0001711256","1514.4342301524","2.5000000000"
"3","0.0000000000","0.0003113829","0.0000000000","0.0000000000","0.0000057750","0.0004996268","0.0000000000","0.0000061424","39.9986193254","0.0000000031","1.0218757389","3.5000000000"
"4","0.0000000000","0.0003392372","0.0000000000","0.0000000000","0.0000058601","0.0005071154","0.0000000000","0.0000061425","39.0099608154","0.0000000031","1.0218497796","4.5000000000"
"5","0.0000000000","0.0003695759","0.0000000000","0.0000000000","0.0000059327","0.0005147485","0.0000000000","0.0000061424","38.0210298075","0.0000000032","1.0218295688","5.5000000000"
"6","0.0000000000","0.0004026194","0.0000000000","0.0000000000","0.0000059939","0.0005225154","0.0000000000","0.0000061424","37.0318177598","0.0000000032","1.0218363927","6.5000000000"
"7","0.0000000000","0.0004386072","0.0000000000","0.0000000000","0.0000060451","0.0005304067","0.0000000000","0.0000061423","36.0423075356","0.0000000033","1.0218883787","7.5000000000"
"8","0.0001825195","0.0004777996","0.0000000000","0.0000301405","0.0001731125","0.0006068082","0.0000000000","0.0496451038","35.9407752027","0.0000301545","178.2370365480","8.5000000000"
"9","0.0002845053","0.0005204799","0.0000000000","0.0000556812","0.0002462652","0.0007766748","0.0000000000","0.0716895719","37.1671599784","0.0000557613","252.9581367860","9.5000000000"
"10","0.0002695711","0.0005669558","0.0000000000","0.0000523489","0.0002248665","0.0009628641","0.0000000000","0.0544194691","38.5627121237","0.0000524413","182.2650444875","10.5000000000"
"11","0.0001940444","0.0006175617","0.0000000000","0.0000342766","0.0001691407","0.0011226554","0.0000000000","0.0305603137","39.2265983615","0.0000343193","91.9898388997","11.5000000000"
"12","0.0001079691","0.0006726609","0.0000000000","0.0000139487","0.0001006623","0.0012407894","0.0000000000","0.0112464650","39.0602936507","0.0000139554","28.6572736765","12.5000000000"
"13","0.0000431268","0.0007326477","0.0000000000","0.0000000000","0.0000421218","0.0013134412","0.0000000000","0.0000061423","38.2975475513","0.0000000081","1.0114104982","13.5000000000"
"14","0.0000117319","0.0007979507","0.0000000000","0.0000000000","0.0000116724","0.0013490927","0.0000000000","0.0000061423","37.3222038710","0.0000000083","1.0081282550","14.5000000000"
"15","0.0000111069","0.0008690347","0.0000000000","0.0000000000","0.0000110660","0.0013694123","0.0000000000","0.0000061425","36.3561871735","0.0000000084","1.0056880450","15.5000000000"
"16","0.0000304204","0.0009464041","0.0000000000","0.0000009906","0.0000301869","0.0013986568","0.0000000000","0.0007082842","35.4152430384","0.0000009906","1.4696540792","16.5000000000"
"17","0.0000568761","0.0010306059","0.0000000000","0.0000089483","0.0000562439","0.0014463403","0.0000000000","0.0061873621","34.5958416818","0.0000089492","4.1316021991","17.5000000000"
"18","0.0000800221","0.0011222332","0.0000000000","0.0000157571","0.0000790337","0.0015115119","0.0000000000","0.0104257227","33.9537311521","0.0000157592","5.4254450040","18.5000000000"
"19","0.0000938507","0.0012219285","0.0000000000","0.0000198813","0.0000927672","0.0015900457","0.0000000000","0.0125047009","33.4223453827","0.0000198840","5.8334219772","19.5000000000"
"20","0.0000970067","0.0013303878","0.0000000000","0.0000210008","0.0000960922","0.0016751334","0.0000000000","0.0125375780","32.9243274461","0.0000210031","5.6852046709","20.5000000000"
"21","0.0000917305","0.0014483643","0.0000000000","0.0000197392","0.0000911062","0.0017600548","0.0000000000","0.0112155880","32.3989912897","0.0000197408","5.2066402471","21.5000000000"
"22","0.0000822260","0.0015766728","0.0000000000","0.0000172410","0.0000818680","0.0018404945","0.0000000000","0.0093677666","31.8138927884","0.0000172418","4.5799312110","22.5000000000"
"23","0.0000730280","0.0017161943","0.0000000000","0.0000147431","0.0000728494","0.0019136312","0.0000000000","0.0077043013","31.1641986348","0.0000147435","3.9893039936","23.5000000000"
"24","0.0000677597","0.0018678802","0.0000000000","0.0000132439","0.0000676845","0.0019822045","0.0000000000","0.0066813925","30.4646400236","0.0000132441","3.6149118917","24.5000000000"
"25","0.0000684587","0.0020327576","0.0000000000","0.0000133175","0.0000684490","0.0020497894","0.0000000000","0.0064968994","29.7394210070","0.0000133175","3.5501791608","25.5000000000"
"26","0.0000754738","0.0022119342","0.0000000000","0.0000150761","0.0000755266","0.0021208781","0.0000000000","0.0071082451","29.0136699429","0.0000150760","3.7847667020","26.5000000000"
"27","0.0000878094","0.0024066033","0.0000000000","0.0000182539","0.0000879467","0.0021997805","0.0000000000","0.0082977230","28.3071742745","0.0000182536","4.2314749470","27.5000000000"
"28","0.0001037280","0.0026180492","0.0000000000","0.0000223626","0.0001039852","0.0022898673","0.0000000000","0.0097653426","27.6311640012","0.0000223620","4.7679646890","28.5000000000"
"29","0.0001214136","0.0028476527","0.0000000000","0.0000268702","0.0001218270","0.0023921154","0.0000000000","0.0112319123","26.9882304495","0.0000268690","5.2804582047","29.5000000000"
"30","0.0001395303","0.0030968965","0.0000000000","0.0000313573","0.0001401265","0.0025070962","0.0000000000","0.0125061758","26.3745291735","0.0000313556","5.6928649292","30.5000000000"
"31","0.0001575689","0.0033673702","0.0000000000","0.0000356229","0.0001583685","0.0026353209","0.0000000000","0.0135159413","25.7829885210","0.0000356207","5.9787066634","31.5000000000"
"32","0.0001759423","0.0036607756","0.0000000000","0.0000397241","0.0001769588","0.0027775517","0.0000000000","0.0142999888","25.2064759800","0.0000397213","6.1554005503","32.5000000000"
"33","0.0001958483","0.0039789320","0.0000000000","0.0000439525","0.0001971079","0.0029353402","0.0000000000","0.0149713780","24.6401108506","0.0000439490","6.2668236708","33.5000000000"
"34","0.0002189689","0.0043237802","0.0000000000","0.0000487617","0.0002205205","0.0031113168","0.0000000000","0.0156698855","24.0823452014","0.0000487575","6.3623751481","34.5000000000"
"35","0.0002470953","0.0046973868","0.0000000000","0.0000546685","0.0002490080","0.0033092648","0.0000000000","0.0165169266","23.5348379883","0.0000546634","6.4801616049","35.5000000000"
"36","0.0002817729","0.0051019476","0.0000000000","0.0000621495","0.0002841551","0.0035338912","0.0000000000","0.0175833092","23.0014292552","0.0000621433","6.6367685851","36.5000000000"
"37","0.0003240441","0.0055397896","0.0000000000","0.0000715575","0.0003270227","0.0037906652","0.0000000000","0.0188731769","22.4866593379","0.0000715496","6.8244791273","37.5000000000"
"38","0.0003743350","0.0060133730","0.0000000000","0.0000830705","0.0003780531","0.0040855921","0.0000000000","0.0203275917","21.9942919267","0.0000830606","7.0165291710","38.5000000000"
"39","0.0004324997","0.0065252903","0.0000000000","0.0000966819","0.0004370916","0.0044247942","0.0000000000","0.0218440383","21.5262197080","0.0000966692","7.1780558034","39.5000000000"
"40","0.0004979991","0.0070782650","0.0000000000","0.0001122300","0.0005035656","0.0048142079","0.0000000000","0.0233052950","21.0819740538","0.0001122146","7.2764277908","40.5000000000"
"41","0.0005701639","0.0076751477","0.0000000000","0.0001294589","0.0005767945","0.0052594473","0.0000000000","0.0246066021","20.6588501509","0.0001294402","7.2892418233","41.5000000000"
"42","0.0006484787","0.0083189097","0.0000000000","0.0001480964","0.0006561884","0.0057658310","0.0000000000","0.0256763652","20.2524934764","0.0001480742","7.2085192995","42.5000000000"
"43","0.0007328197","0.0090126345","0.0000000000","0.0001679346","0.0007415970","0.0063385891","0.0000000000","0.0264845698","19.8577210119","0.0001679093","7.0402113199","43.5000000000"
"44","0.0008235920","0.0097595051","0.0000000000","0.0001888971","0.0008334007","0.0069832176","0.0000000000","0.0270402859","19.4693368380","0.0001888687","6.8007349184","44.5000000000"
"45","0.0009217365","0.0105627890","0.0000000000","0.0002110834","0.0009325263","0.0077058381","0.0000000000","0.0273826097","19.0827848896","0.0002110526","6.5117073977","45.5000000000"
"46","0.0010286028","0.0114258178","0.0000000000","0.0002347828","0.0010403021","0.0085134769","0.0000000000","0.0275676534","18.6945581394","0.0002347495","6.1951366559","46.5000000000"
"47","0.0011457164","0.0123519640","0.0000000000","0.0002604594","0.0011582238","0.0094141661","0.0000000000","0.0276566983","18.3023529450","0.0002604243","5.8702233752","47.5000000000"
"48","0.0012744917","0.0133446114","0.0000000000","0.0002887127","0.0012877031","0.0104168364","0.0000000000","0.0277059927","17.9050105692","0.0002886756","5.5515006263","48.5000000000"
"49","0.0014159576","0.0144071212","0.0000000000","0.0003202227","0.0014296820","0.0115309387","0.0000000000","0.0277609129","17.5023162071","0.0003201843","5.2484281792","49.5000000000"
"50","0.0015705642","0.0155427932","0.0000000000","0.0003556930","0.0015845509","0.0127658843","0.0000000000","0.0278531412","17.0947314378","0.0003556539","4.9660685844","50.5000000000"
"51","0.0017381237","0.0167548202","0.0000000000","0.0003957997","0.0017520316","0.0141304342","0.0000000000","0.0280009687","16.6831188539","0.0003957599","4.7061671681","51.5000000000"
"52","0.0019179172","0.0180462377","0.0000000000","0.0004411580","0.0019313256","0.0156321376","0.0000000000","0.0282120089","16.2685097217","0.0004411195","4.4683493252","52.5000000000"
"53","0.0021089578","0.0194198684","0.0000000000","0.0004923065","0.0021213614","0.0172769872","0.0000000000","0.0284859339","15.8519309568","0.0004922693","4.2511594006","53.5000000000"
"54","0.0023103678","0.0208782610","0.0000000000","0.0005497121","0.0023212185","0.0190694089","0.0000000000","0.0288182210","15.4342864557","0.0005496787","4.0531320807","54.5000000000"
"55","0.0025217895","0.0224236250","0.0000000000","0.0006137885","0.0025305125","0.0210126394","0.0000000000","0.0292020609","15.0162876272","0.0006137601","3.8727532334","55.5000000000"
"56","0.0027437316","0.0240577620","0.0000000000","0.0006849212","0.0027497476","0.0231094492","0.0000000000","0.0296301297","14.5984221246","0.0006849006","3.7085987251","56.5000000000"
"57","0.0029777450","0.0257819952","0.0000000000","0.0007634928","0.0029804648","0.0253630869","0.0000000000","0.0300949037","14.1809400522","0.0007634830","3.5593778075","57.5000000000"
"58","0.0032263476","0.0275970969","0.0000000000","0.0008499035","0.0032251456","0.0277782281","0.0000000000","0.0305888527","13.7638492236","0.0008499081","3.4237528250","58.5000000000"
"59","0.0034926567","0.0295032187","0.0000000000","0.0009445889","0.0034868351","0.0303616700","0.0000000000","0.0311045203","13.3469413363","0.0009446122","3.2998310369","59.5000000000"
"60","0.0037797526","0.0314998237","0.0000000000","0.0010480420","0.0037684801","0.0331224976","0.0000000000","0.0316351953","12.9298290488","0.0010480893","3.1858946758","60.5000000000"
"61","0.0040898710","0.0335856254","0.0000000000","0.0011608541","0.0040721373","0.0360715065","0.0000000000","0.0321763947","12.5119722615","0.0011609324","3.0806393870","61.5000000000"
"62","0.0044235894","0.0357585336","0.0000000000","0.0012837873","0.0043981924","0.0392198110","0.0000000000","0.0327281387","12.0927176760","0.0012839047","2.9832219567","62.5000000000"
"63","0.0047792200","0.0380156125","0.0000000000","0.0014178900","0.0047448079","0.0425767255","0.0000000000","0.0332976941","11.6714075218","0.0014180553","2.8924744976","63.5000000000"
"64","0.0051526301","0.0403530512","0.0000000000","0.0015646510","0.0051076794","0.0461471520","0.0000000000","0.0339022302","11.2477051761","0.0015648784","2.8047236096","64.5000000000"
"65","0.0055376560","0.0427661504","0.0000000000","0.0017261641","0.0054807491","0.0499290771","0.0000000000","0.0345697974","10.8219693954","0.0017264669","2.7166506624","65.5000000000"
"66","0.0059271633","0.0452493278","0.0000000000","0.0019052476","0.0058570426","0.0539117167","0.0000000000","0.0353387209","10.3954739731","0.0019056450","2.6259608858","66.5000000000"
"67","0.0063146215","0.0477961418","0.0000000000","0.0021054292","0.0062304072","0.0580748774","0.0000000000","0.0362535283","9.9705787269","0.0021059418","2.5310545063","67.5000000000"
"68","0.0066958394","0.0503993369","0.0000000000","0.0023306906","0.0065969459","0.0623899793","0.0000000000","0.0373580783","9.5506549647","0.0023313450","2.4334267606","68.5000000000"
"69","0.0070702983","0.0530509094","0.0000000000","0.0025848741","0.0069565764","0.0668228805","0.0000000000","0.0386855144","9.1389204194","0.0025857102","2.3440972564","69.5000000000"
"70","0.0074413860","0.0557421935","0.0000000000","0.0028707219","0.0073127814","0.0713380234","0.0000000000","0.0402460860","8.7368397299","0.0028717718","2.2730235422","70.5000000000"
"71","0.0078149127","0.0584639658","0.0000000000","0.0031886682","0.0076715168","0.0759028929","0.0000000000","0.0420170573","8.3430933323","0.0031899802","2.2271747217","71.5000000000"
"72","0.0081956935","0.0612065662","0.0000000000","0.0035357824","0.0080374072","0.0804911922","0.0000000000","0.0439372404","7.9527590391","0.0035373982","2.2123204752","72.5000000000"
"73","0.0085829021","0.0639600324","0.0000000000","0.0039056941","0.0084096712","0.0850828723","0.0000000000","0.0459169348","7.5577252368","0.0039076575","2.2278843231","73.5000000000"
"74","0.0089664706","0.0667142427","0.0000000000","0.0042909513","0.0087786077","0.0896596502","0.0000000000","0.0478734336","7.1512117262","0.0042933015","2.2456095866","74.5000000000"
"75","0.0093291878","0.0694590645","0.0000000000","0.0046900732","0.0091278814","0.0941957546","0.0000000000","0.0498091607","6.7327037892","0.0046928638","2.2313198301","75.5000000000"
"76","0.0096623464","0.0721845029","0.0000000000","0.0051225339","0.0094496568","0.0986467051","0.0000000000","0.0519499918","6.3100934216","0.0051258067","2.1589414534","76.5000000000"
"77","0.0100067018","0.0748808448","0.0000000000","0.0056559469","0.0097830666","0.1029432404","0.0000000000","0.0549690198","5.9036045415","0.0056598669","2.0223910514","77.5000000000"
"78","0.0105346943","0.0775387951","0.0000000000","0.0064506252","0.0102928858","0.1070053198","0.0000000000","0.0603173622","5.5522188915","0.0064555835","1.8584126755","78.5000000000"
"79","0.0116935220","0.0801495991","0.0000000000","0.0078271116","0.0114051765","0.1108008330","0.0000000000","0.0706903874","5.3082827704","0.0078341958","1.7635568485","79.5000000000"
"80+","0.0144302133","0.0827051502","0.0000000000","0.0103616686","0.0140049619","0.1144779223","0.0000000000","0.0905937282","5.2183894314","0.0103736795","1.8131564726","88.3521509002"
"","","","","","","","","","","","",""
"All ages","NA","0.0103685296","NA","0.0004827852","0.0012136270","0.0112743836","0.0000000000","0.0428475291","12.0241947638","0.0004831280","92.2650496920","64.1107983456"
