sex,age,mu,sigma,nu,tau
men,20,6.90521034416948,0.505423663571235,0.541989520438245,19.5377709872674
women,20,4.69498181577967,0.490114820132716,0.513403360080381,8.09897706737367
men,21,6.93424406106248,0.507532411932188,0.539408383646692,19.0644888966797
women,21,4.73464208416418,0.493435118326778,0.512023927683627,8.18114136314535
men,22,6.9616545383588,0.509820940358362,0.536804365040555,18.6026717307159
women,22,4.77267911295202,0.496944573419453,0.510621613472289,8.26413928872652
men,23,6.98659154791291,0.512357811293688,0.534165128248724,18.1520418490756
women,23,4.80824267399766,0.500711601611673,0.509184081075257,8.34797934566048
men,24,7.00833647790798,0.51514227463316,0.531473630051276,17.7123283862631
women,24,4.84061415548425,0.504737408317235,0.507694287272608,8.43267014961134
men,25,7.02635286144625,0.518075124207806,0.528706313381527,17.2832671032775
women,25,4.86925709051404,0.508926483850899,0.506128674997659,8.51822044291983
men,26,7.04011789591306,0.521047704136205,0.525839138117512,16.86460015224
women,26,4.89364867647237,0.513173011396986,0.504463204128443,8.60463906271231
men,27,7.04940006702585,0.523913578031145,0.522843110758719,16.4560759318887
women,27,4.91355739907669,0.517332764980434,0.502668881164449,8.6919349473707
men,28,7.05480358646464,0.526421384908827,0.519675026225944,16.0574489635311
women,28,4.929587470007,0.521156146398751,0.500702501026474,8.78011715328235
men,29,7.05708161100338,0.528297330391676,0.516289146618202,15.6684797048295
women,29,4.94249204603725,0.52436870733329,0.498518325813531,8.86919483754275
men,30,7.05695342746316,0.529298257824904,0.512642993215238,15.2889343662079
women,30,4.95299041398856,0.526723657072021,0.496073876805365,8.95917723583265
men,31,7.0549232662268,0.529390370075537,0.50871478138525,14.9185846051134
women,31,4.96158680424371,0.528180552617632,0.493347369370177,9.05007355915494
men,32,7.05141122288689,0.528625491296402,0.504490822477212,14.5572075345441
women,32,4.96870131239533,0.528784213495173,0.490325114856938,9.14189306414916
men,33,7.04682134506127,0.527063310849498,0.499959075764849,14.2045856723082
women,33,4.97473798606123,0.528587848111718,0.486995072539374,9.23464509967754
men,34,7.04130476505808,0.524824550327654,0.495133491842631,13.8605067923471
women,34,4.97984795754956,0.527706618275466,0.483371193011956,9.32833909586633
men,35,7.0348095599379,0.522077170737272,0.490048888662094,13.5247638026038
women,35,4.9839793039209,0.526304533728164,0.479488294226218,9.42298456693345
men,36,7.02727368215075,0.5189879496527,0.484740694745067,13.1971546365049
women,36,4.98706997762527,0.524546135776005,0.47538180470399,9.51859112223535
men,37,7.01834420386509,0.51565710158436,0.479245776334308,12.8774821741857
women,37,4.98876705083114,0.522530241973474,0.47108859068803,9.61516849959037
men,38,7.0072009554008,0.512081214434665,0.47360330908791,12.5655541438803
women,38,4.98825035385836,0.520251428483905,0.466647827836432,9.71272658782284
men,39,6.99298163017327,0.508248350159684,0.467852679302688,12.2611829369387
women,39,4.98465758012236,0.517695541052665,0.462098902446008,9.81127538184061
men,40,6.97504485875041,0.504192128432556,0.462048067205372,11.9641854425405
women,40,4.97734736019101,0.51489481392223,0.457495994743492,9.91082494102046
men,41,6.95349676251928,0.500095482302725,0.456293704934195,11.6743828364617
women,41,4.96642581545141,0.512034704521761,0.452943336867114,10.0113852967567
men,42,6.9286013883187,0.496167059446309,0.450704399300042,11.3916006085057
women,42,4.95215699274234,0.509328999146185,0.44855573562776,10.1129665504803
men,43,6.90071035538448,0.492596862503311,0.445390918518779,11.1156685049584
women,43,4.93489251129964,0.506974513119147,0.444443959241297,10.2155789141097
men,44,6.87083938511491,0.489477957773187,0.440433404264407,10.8464205137292
women,44,4.91564809252159,0.505070071285461,0.440688149381724,10.3192327975302
men,45,6.84030859042249,0.486860033667471,0.435897960522173,10.5836946958947
women,45,4.89574384932071,0.503670632870655,0.437354410034289,10.4239387603633
men,46,6.8104109988102,0.484787106533751,0.431848806114801,10.3273330407646
women,46,4.87647280919993,0.502825825362954,0.434506960021716,10.5297074729834
men,47,6.78185942555258,0.483190428804812,0.428313491340684,10.0771814386653
women,47,4.85854778743383,0.502468507270417,0.432173349642398,10.6365497899782
men,48,6.75482735252719,0.481898298123375,0.425285481453264,9.83308957443131
women,48,4.84214226589996,0.502423478772494,0.430347044149777,10.7444767496829
men,49,6.72946626122416,0.480738114246219,0.422756873989935,9.59491076755927
women,49,4.82740772608846,0.502512765661651,0.429020141081248,10.8534995090967
men,50,6.70576708040774,0.479586975977831,0.420712017796443,9.36250184887606
women,50,4.81433509676355,0.502608620987189,0.428176989282555,10.9636293036915
men,51,6.68342065283324,0.478412296683673,0.419120778788162,9.13572305076561
women,51,4.80261522068058,0.502676863365958,0.427787454669073,11.0748774123128
men,52,6.66208492601165,0.477191555481294,0.417951435270523,8.91443798397356
women,52,4.79190604535051,0.502693560496825,0.427819815546233,11.1872552212126
men,53,6.64140146546983,0.475910878467585,0.417167258276246,8.69851354401379
women,53,4.78184913630021,0.502643665791046,0.428237342946755,11.3007742086633
men,54,6.62094630879802,0.474590088966389,0.416711489747192,8.48781977838353
women,54,4.77202053111992,0.502547661040176,0.428983278812501,11.4154458708582
men,55,6.60027911160329,0.47325716718738,0.416522364352477,8.28222987101579
women,55,4.76197988541671,0.502434902792671,0.429995857812585,11.5312817928971
men,56,6.5789764110057,0.471938706958707,0.416539582011824,8.08162007812627
women,56,4.75130373631064,0.502333578066036,0.431214779866731,11.6482936635867
men,57,6.55676874529376,0.470651190568286,0.416716209355217,7.88586959792239
women,57,4.73972262209022,0.502261376049694,0.432593111604924,11.7664931921348
men,58,6.53346904682699,0.46940568496233,0.417012464501524,7.69486053373553
women,58,4.72704947511497,0.50223037477982,0.434091071146029,11.8858921486937
men,59,6.50889182840762,0.468214345504906,0.417389471869806,7.50847785741549
women,59,4.71309880818712,0.502253943836138,0.43566978290911,12.0065024125669
men,60,6.48287270378671,0.467122009580782,0.417830439731721,7.32660932197509
women,60,4.69770623505773,0.502380738583302,0.437312455165825,12.1283359444255
men,61,6.4552699870107,0.466208348553636,0.418342334059439,7.149145394002
women,61,4.68073006977325,0.502697476879668,0.439026053888342,12.2514047834044
men,62,6.42594341690094,0.465554149234443,0.418933369439698,6.97597920701944
women,62,4.662030051155,0.503292977181371,0.4408187936634,12.3757210781318
men,63,6.3948108786078,0.465211508440804,0.419626076727977,6.80700651418869
women,63,4.64152406435339,0.504225874919152,0.442713205346478,12.5012971205032
men,64,6.36191711726579,0.465170562564764,0.420474221109852,6.64212564225101
women,64,4.61925685450289,0.505488071408403,0.444763054123153,12.6281453857287
men,65,6.32732360650901,0.46541382291007,0.421535686512425,6.48123739416661
women,65,4.59528989523763,0.507063062990767,0.447026223920525,12.756278476003
men,66,6.2911057608082,0.46592389852619,0.422863123972266,6.32424500057703
women,66,4.56969860102835,0.508934268474392,0.449555365775165,12.8857091471539
men,67,6.25340497923621,0.466681862362032,0.424484416272182,6.17105412060302
women,67,4.54262437094788,0.511083239999963,0.45237836246988,13.0164504414827
men,68,6.21438216404472,0.467668502189146,0.426420125399575,6.02157272137269
women,68,4.51422810724791,0.513491013510901,0.455515775992073,13.1485155798758
men,69,6.17415095519302,0.468860831436754,0.428688285230832,5.87571100666161
women,69,4.48462344988774,0.516134262390942,0.458985640218129,13.2819179356764
men,70,6.13230129453564,0.4701919181356,0.431278930298388,5.73338144822422
women,70,4.45340034072187,0.518940906310568,0.462777989680484,13.4166712390244
men,71,6.08809709694103,0.471566761985134,0.43416466421084,5.59449868677501
women,71,4.41982269461878,0.521807049712114,0.466865427987735,13.5527895048062
men,72,6.04080423630263,0.472889271108033,0.437317661877954,5.45897941926614
women,72,4.3831563854719,0.524626502639275,0.471220130049648,13.6902869034161
men,73,5.98993256286295,0.474076375648622,0.440704238619198,5.32674236232233
women,73,4.34291126352374,0.527306456309573,0.475808411185692,13.8291777958561
men,74,5.93529581142169,0.475061842283516,0.444283411345762,5.19770820588209
women,74,4.298901063574,0.529771917446212,0.480589288307054,13.9694767463803
men,75,5.87672714491962,0.475780269410836,0.448013753054209,5.07179954870947
women,75,4.25095894856345,0.531948051101496,0.485521334410301,14.1111984831658
men,76,5.81422382037508,0.476191229189508,0.451859683552394,4.94894082535148
women,76,4.19908217551044,0.533787249773896,0.490568969303285,14.2543578216183
men,77,5.74820253470946,0.476318557122242,0.455800567647734,4.82905822477191
women,77,4.14368744133633,0.53531364704113,0.495711557793425,14.3989695430016
men,78,5.67914604383138,0.476196706266114,0.459818123885163,4.71207970881978
women,78,4.08525750194978,0.536563603881182,0.500930818425652,14.5450485533611
men,79,5.60754453651589,0.475861219431699,0.463895265382475,4.5979349713592
women,79,4.02428254612581,0.537575101977625,0.506209664317764,14.6926098863808
men,80,5.53392990713057,0.475351759527362,0.468021607965352,4.48655535683344
women,80,3.96129446823201,0.53839119444065,0.51153771129544,14.8416685694824
men,81,5.45884858632742,0.47470940091759,0.472189103656678,4.37787385658277
women,81,3.89683969892038,0.539056993118195,0.516906911381565,14.9922397246389
men,82,5.38283321587251,0.473974349083578,0.476389682318815,4.27182508733281
women,82,3.83145087995699,0.539617096185324,0.522309194438502,15.1443386264848
men,83,5.30622831860073,0.473175906802267,0.480614939147588,4.16834525693283
women,83,3.76547253417674,0.54010412537295,0.527736155662074,15.2979807230872
men,84,5.22924248425823,0.472335477460089,0.484856227511342,4.06737212366465
women,84,3.69911325132576,0.540542004763283,0.533179148420626,15.4531816327076
