sex,age,mu,sigma,nu,tau
men,20,5.89230723452786,0.641088260801267,0.387755788388328,1.72136412072681
women,20,5.03959447802987,0.617668269221885,0.301430732471612,1.69604084942251
men,21,5.82865152694425,0.643157231427098,0.382768143979374,1.73548619642462
women,21,4.98916567038846,0.618952333747244,0.299739345635892,1.70915481607388
men,22,5.76561476187229,0.645230943224953,0.377260314516711,1.749660998955
women,22,4.93935580525869,0.620237206720612,0.297527773746464,1.72230803752581
men,23,5.70356666961528,0.647309042565272,0.370985022536915,1.76385881990368
women,23,4.89053461294387,0.621522539849421,0.294548739339901,1.73547121957892
men,24,5.64294646054102,0.649391865984145,0.363863578263709,1.7780398464863
women,24,4.84314130381181,0.62280864833407,0.290723552639929,1.74860518572541
men,25,5.58428949904973,0.651480718917886,0.356050601806798,1.79215025456579
women,25,4.79771124226272,0.624096774093398,0.286206833756252,1.76165705983495
men,26,5.52813819688105,0.65357699400246,0.347717880819768,1.80613364468845
women,26,4.75478684003622,0.625388236783636,0.281170370342456,1.77457153449319
men,27,5.47502691732496,0.655681585556059,0.33908371336996,1.81993341564611
women,27,4.71490246042233,0.626683873714431,0.275832460465882,1.78729320780036
men,28,5.42546693212402,0.657793913737952,0.330499839053302,1.83349555810194
women,28,4.67856937516359,0.627983110975575,0.270544843722458,1.79976932595208
men,29,5.3799653975896,0.659913125344056,0.322341779736352,1.84676545025733
women,29,4.64629474057136,0.62928511656706,0.265683041978742,1.81194663324472
men,30,5.33895497106123,0.662037816684518,0.314972155464231,1.85968684164324
women,30,4.61851121398519,0.630588537925641,0.261609675279855,1.82377037678336
men,31,5.30239528047656,0.664163131008868,0.308671666481965,1.87219992983963
women,31,4.59517842334271,0.631888743388164,0.258605443870823,1.83518242484951
men,32,5.27006089430794,0.666282801147674,0.303688964214061,1.88424284918304
women,32,4.57607093711628,0.633179782133886,0.256918999176152,1.84612273351827
men,33,5.24171063767264,0.668390558727352,0.300252274791996,1.89575565376859
women,33,4.56094758042318,0.634455729462918,0.256778567327321,1.85653325185647
men,34,5.21685901313323,0.670481358041512,0.298265147403374,1.90672476616975
women,34,4.54932285582596,0.635711847129123,0.258087697511934,1.86640142611055
men,35,5.19482436677201,0.672551140409623,0.297370461538124,1.91717507551541
women,35,4.54051510940693,0.63694435346144,0.260489269219917,1.87575236216464
men,36,5.17491999392672,0.674595848177599,0.297205157655588,1.92713396462902
women,36,4.53383763650384,0.63814948522238,0.263620222910616,1.88461355828101
men,37,5.15649126068962,0.676612524728263,0.297499948182689,1.93664387376506
women,37,4.52863580320893,0.639324536941469,0.26721127101095,1.8930271802253
men,38,5.13893504849989,0.678600029106801,0.298136171732632,1.94577101882986
women,38,4.5243064909614,0.640468529380422,0.271143752134127,1.90105854476282
men,39,5.12165291196552,0.680557381008929,0.299008770208965,1.9545852806498
women,39,4.52025125436922,0.641580639462622,0.275312608183694,1.90877642598225
men,40,5.10420567062914,0.682484173970582,0.300072054923541,1.96314156374425
women,40,4.51603091297503,0.642660588472284,0.279672150471504,1.91623485124276
men,41,5.08669298087108,0.684381964885351,0.301481200135801,1.97143980598453
women,41,4.51174512315917,0.643709945890108,0.284377553256998,1.92343411898184
men,42,5.06932834134062,0.686252750277937,0.303433817244057,1.97946820301003
women,42,4.50760738357091,0.644730687286579,0.289626427938487,1.9303630764764
men,43,5.05230661052688,0.688098435694972,0.306108750354591,1.98721252114552
women,43,4.50381255269936,0.645724694043858,0.295597618622255,1.9370082242801
men,44,5.03568128992645,0.689920047699303,0.309542522481205,1.99464018460399
women,44,4.50041413204113,0.646693015236311,0.302327648322103,1.94333821821857
men,45,5.01944108999734,0.691718212801733,0.313706423703179,2.00170991270129
women,45,4.49740083205421,0.647636320780305,0.309787807117311,1.94931329613274
men,46,5.00357848306746,0.693493580582003,0.31856393753692,2.00838142939195
women,46,4.49476512506653,0.648555299293744,0.317941578524287,1.95489474860217
men,47,4.98816890100654,0.6952470974055,0.323927450075687,2.01464260108795
women,47,4.4925824429478,0.649450913667527,0.326601348636288,1.96007131929672
men,48,4.97336489031343,0.696979989558665,0.329468895552448,2.02050791963077
women,48,4.49100533219688,0.650324383751411,0.335439051686282,1.96485766556866
men,49,4.95932120936511,0.698693496044262,0.334855512010871,2.02599328625103
women,49,4.49018855119075,0.651176935838304,0.34412192571794,1.96926978778743
men,50,4.94611682077847,0.700387455169007,0.339821983235007,2.03110935372938
women,50,4.49021106254631,0.65200848683025,0.352384654515309,1.97331855776006
men,51,4.93368901877461,0.702059053495651,0.34422905454372,2.03585647838601
women,51,4.49101016048464,0.652816488417772,0.360087983397256,1.97700482861403
men,52,4.92195956797206,0.703705162735625,0.34795129004401,2.04023407954478
women,52,4.49250760962429,0.653598111685961,0.36710647647078,1.98032854287118
men,53,4.91080189538641,0.70532219949839,0.350888377830798,2.04423130370953
women,53,4.49457683698083,0.654350118639166,0.373339821830802,1.98327967711415
men,54,4.89989607762168,0.706904828610364,0.353040501950682,2.04779539806204
women,54,4.4968979191583,0.655067662984011,0.37878820352392,1.98580759615834
men,55,4.88887385367814,0.708447241663368,0.354432970438084,2.05086298717692
women,55,4.49910259515696,0.655745482813824,0.383476929584556,1.98785146387406
men,56,4.87740085490362,0.709943958464397,0.355063393589808,2.05337349264688
women,56,4.50085649632463,0.656378644031664,0.387403610309514,1.98935326839826
men,57,4.86545189469865,0.711392848917114,0.354676709812056,2.05529230638559
women,57,4.50213443606186,0.656965329225781,0.390313184104995,1.99028025595433
men,58,4.85316720577507,0.712793592479935,0.352882672398588,2.05659902129696
women,58,4.50307664708046,0.657505398847589,0.391815404264762,1.99061348015435
men,59,4.84069080809557,0.714145960048344,0.349298108104409,2.0572754347805
women,59,4.50382714934316,0.65799879859609,0.391527097543816,1.99033616360331
men,60,4.82822525957862,0.7154514372573,0.343759759364015,2.05734563998832
women,60,4.50458850076841,0.65844705289647,0.389285006376656,1.98947246148541
men,61,4.81603609299042,0.716713368938186,0.33634095282286,2.0568791872584
women,61,4.5056262341224,0.65885338866071,0.385162457408735,1.98809042151204
men,62,4.80439110345299,0.71793521857995,0.327127280955301,2.05594828980051
women,62,4.50720814452716,0.659221127329845,0.37924504311441,1.98626053737647
men,63,4.79339505654772,0.719119311686042,0.316314636556399,2.054634864433
women,63,4.50943899756409,0.659552531739722,0.371728656288742,1.98406254178355
men,64,4.78279703031173,0.720265439270702,0.304339558687599,2.05304154295334
women,64,4.51206787127029,0.65984753277597,0.363049835993176,1.98159601285045
men,65,4.77229919974145,0.721373060496471,0.291670319435177,2.05127351220827
women,65,4.51479694064221,0.660105758255968,0.353676854313988,1.9789628077255
men,66,4.76152378672772,0.722441422187642,0.278801836492618,2.04943232327985
women,66,4.51724842757067,0.660326643902693,0.344104628944663,1.97626108725458
men,67,4.74971458009477,0.723468748898906,0.266355146215787,2.04760337437659
women,67,4.51866612087991,0.660508695002724,0.334954196241066,1.97357325984978
men,68,4.73600351455508,0.724452959484665,0.254988562071751,2.04586709314064
women,68,4.51818195528242,0.660650145200316,0.326883869670264,1.97097679111136
men,69,4.71957884756501,0.725392357320089,0.245329031687177,2.04429966734667
women,69,4.51498418823455,0.660749586784835,0.320520596858924,1.96854491883645
men,70,4.70025307709848,0.726289543931226,0.237655907803547,2.04293307424593
women,70,4.50888531771021,0.66080952945113,0.316143730548527,1.96630819127869
men,71,4.67822732055125,0.727149821081485,0.232032148808067,2.04177187633338
women,71,4.50008646110518,0.660834925711058,0.313816229126281,1.96427072513034
men,72,4.65371142103089,0.727978570977445,0.228514889204806,2.04081984517408
women,72,4.48879746152701,0.660830778732026,0.313595227096255,1.96243586856883
men,73,4.62701637432063,0.728781484512219,0.227070736001873,2.04006567775647
women,73,4.47532931475894,0.660802348936089,0.315447331466555,1.9607924744357
men,74,4.5985791668411,0.729564629170279,0.227553539753405,2.039479306924
women,74,4.46011900722161,0.660755213962859,0.319226392791322,1.95931138961353
men,75,4.56884460623376,0.730334120824242,0.229810087231502,2.03902957711063
women,75,4.44361134655646,0.660694969877184,0.324779197842653,1.95796247017836
men,76,4.5382247334718,0.731095301059268,0.233688837242046,2.03869020355551
women,76,4.4262183737367,0.660626487611436,0.331954205426431,1.95672030339384
men,77,4.50704783483809,0.731851483797619,0.239042522465893,2.0384472368092
women,77,4.40826837504518,0.660552785774087,0.340604148223511,1.9555713577312
men,78,4.47562900580796,0.732605673655199,0.245724548690384,2.03828868564861
women,78,4.39007644595725,0.66047659036263,0.350582432021236,1.95450400458858
men,79,4.44425325406042,0.733360607762621,0.253575662626746,2.03820250291153
women,79,4.3719275941519,0.660400374059294,0.361729803530832,1.95350658339882
men,80,4.41303676562762,0.73411746202317,0.262365581329044,2.03817625257082
women,80,4.3539380056613,0.660325193948009,0.373815979806364,1.9525670827876
men,81,4.38203688455744,0.734876868529352,0.271839264800515,2.03819736607575
women,81,4.33616502453331,0.660251613684138,0.386585920851069,1.9516733868793
men,82,4.35130532046392,0.735639407045672,0.281747656030319,2.03825344913279
women,82,4.31866036038199,0.660180147372993,0.399790569654107,1.95081356918779
men,83,4.32081781934583,0.736404917875882,0.291923580590896,2.03833443827761
women,83,4.30139975920609,0.660110643902759,0.413262751787918,1.94997795529001
men,84,4.29049523654893,0.737172704032433,0.302259031693738,2.03843195329812
women,84,4.28430407635139,0.660042471761606,0.426894460463994,1.9491584983653
