sex,age,mu,sigma,nu,tau
men,20,13.5492964712923,0.379811005432539,0.409018597626216,1.76395560295459
women,20,10.2493446910361,0.390990578212577,0.250976124004814,1.58731718734158
men,21,13.5219561395758,0.373359471730101,0.41214163952306,1.76090045966916
women,21,10.2456163816024,0.383878192930497,0.261099143523306,1.58980192333906
men,22,13.4938266972262,0.367401957331543,0.415239367780872,1.75812472183073
women,22,10.2412486559556,0.377289965609299,0.271196849402766,1.59253884590811
men,23,13.464603580553,0.363173143391176,0.418299070665282,1.75579657778277
women,23,10.2360068779476,0.372490357694956,0.281256529908824,1.59568328093339
men,24,13.4341095608741,0.361685505444163,0.421303606686174,1.75412275891248
women,24,10.229751828808,0.370510001397868,0.291261043551364,1.59942773412738
men,25,13.4023411964849,0.363732096957479,0.424229703978041,1.75336398593566
women,25,10.2224759349816,0.372149961255754,0.301187118464879,1.60401661881959
men,26,13.3693084886586,0.370194570890218,0.427053629943279,1.75378565951434
women,26,10.2141818596972,0.378297889055971,0.311011022051765,1.60970183404674
men,27,13.3354028897239,0.381029004814824,0.429741030385384,1.75561700747696
women,27,10.205164212964,0.388892376658984,0.320698400115518,1.61670524139378
men,28,13.3021028439309,0.392976001871779,0.432227077020903,1.75898061424231
women,28,10.1965527939672,0.400594464779954,0.330184424372685,1.62515303273333
men,29,13.2710661007961,0.401789307619492,0.434441510401205,1.76398400648128
women,29,10.1896225757279,0.409076762586829,0.339398835374635,1.63515902348941
men,30,13.2437477430356,0.403643035058152,0.436321933474561,1.770694406494
women,30,10.1855011100426,0.410460546497728,0.348279236069639,1.64680095479458
men,31,13.2204020934206,0.399551555282748,0.437855871286316,1.77889230422533
women,31,10.1843983850731,0.405802111420364,0.356813151503042,1.65988994309016
men,32,13.2008196564955,0.392569334182481,0.439050379499901,1.78824297433215
women,32,10.1861678379029,0.39822210992095,0.365007637338275,1.6741266405402
men,33,13.1847445486095,0.385623221010807,0.439911828763997,1.79841742502531
women,33,10.1906260301214,0.390696658084962,0.37286906422402,1.6892130363922
men,34,13.1711319956865,0.380599591460061,0.440434938718318,1.80925154401928
women,34,10.1969775075331,0.385134440668589,0.380392151799988,1.70500248819606
men,35,13.1583073065775,0.378616955461054,0.44060507488912,1.82071616243128
women,35,10.2039330132719,0.382658724143064,0.387562265592438,1.7214739502608
men,36,13.1445836479292,0.380782559473754,0.440407498557498,1.83278336874099
women,36,10.2101852803067,0.384375882111629,0.394364666882464,1.73860724753965
men,37,13.1281977446437,0.386725819474993,0.439838042484138,1.84526905210354
women,37,10.2143588896067,0.389896889353497,0.400795188430752,1.75623323328377
men,38,13.107262128912,0.393520385563364,0.438909520428366,1.85773226711688
women,38,10.2149725272086,0.396261024337054,0.406866643996628,1.77393523529532
men,39,13.0798931442649,0.397827826443584,0.437636278673378,1.86969724734326
women,39,10.2105380680197,0.400107599812724,0.412593379863288,1.79125768600773
men,40,13.0448280934504,0.397324401656776,0.436032272538239,1.88069788368156
women,40,10.2000431217132,0.399111647782981,0.417989351349798,1.80774827886186
men,41,13.0028441545907,0.393591139793621,0.434110134603356,1.89033175559072
women,41,10.1840663371115,0.39487714562297,0.423067191036563,1.82301017885959
men,42,12.955144992314,0.38904884660155,0.431882217988733,1.89820664206966
women,42,10.1635248847353,0.389841741365362,0.427839252043588,1.83665123343033
