sex,age,mu,sigma,nu,tau
men,20,120.651618481011,0.0933313137117159,0.495390676893943,1.52167320540701
women,20,109.879163428779,0.100943711899117,0.220709511650954,1.98503495973441
men,21,120.877354532167,0.0938462757034721,0.407980099472774,1.5198437774616
women,21,110.120405130661,0.102005659811515,0.122770363085131,1.97324708267074
men,22,121.09487560041,0.0943591700945409,0.321210245766555,1.51803648978986
women,22,110.363590421767,0.103074640361675,0.0251028916315017,1.96144583057117
men,23,121.300875009835,0.0948699448779814,0.235282647140925,1.5162599505269
women,23,110.609832125361,0.104148813610269,-0.0722208034390771,1.94958418698409
men,24,121.493400284034,0.0953846014585009,0.15021774385129,1.51452378251594
women,24,110.861002258982,0.105229451233637,-0.169039102799948,1.93760246217401
men,25,121.672394773829,0.0959176961009553,0.0657853626771078,1.5128390235578
women,25,111.120029378928,0.106322336977246,-0.265066499583405,1.92542346594555
men,26,121.837946108823,0.0964847345474551,-0.0182629250890519,1.51121678447812
women,26,111.389946369922,0.107433825565275,-0.360008261212157,1.91297068634675
men,27,121.989975990871,0.0970992365316507,-0.102044891842731,1.5096792908345
women,27,111.673365436503,0.108570998676255,-0.453437987575796,1.90016364019141
men,28,122.127918702853,0.0977682571728298,-0.18530344816743,1.50828066710376
women,28,111.971627826963,0.109742580606239,-0.544551515489647,1.88690675259544
men,29,122.251123228029,0.0984978759971268,-0.267714695871547,1.50708056104247
women,29,112.285861088726,0.110957912279427,-0.632477355924002,1.87310451909173
men,30,122.359540122802,0.0992934334100429,-0.348872858185664,1.50613802800857
women,30,112.617304227418,0.11222558375461,-0.716232374652852,1.85868306549247
men,31,122.456930397657,0.100154160595332,-0.427852272309621,1.50550913007152
women,31,112.967812900849,0.113547092570582,-0.794124549002594,1.84368574340527
men,32,122.548560703659,0.101076827505726,-0.5035238846384,1.50524885214138
women,32,113.339507035507,0.114921044008001,-0.864184523608552,1.82819976447251
men,33,122.639861002498,0.102058451049797,-0.57475458318759,1.50541126303806
women,33,113.734548200714,0.116345798872662,-0.924504648278236,1.81231543689015
men,34,122.73855274167,0.103100956488375,-0.640354031942566,1.50603289426622
women,34,114.155208240206,0.117816925766699,-0.974171966375944,1.79619977710343
men,35,122.854211331848,0.104210429426811,-0.69908595207994,1.50713636410645
women,35,114.603861367849,0.119327555607675,-1.01307211960661,1.78007731352473
men,36,122.996472211048,0.105393340539311,-0.749719330765329,1.50874419497728
women,36,115.082916884279,0.120870372683113,-1.04112209513592,1.7641668812291
men,37,123.172857417402,0.106653755287049,-0.791457519070866,1.51086602364871
women,37,115.593581438041,0.122437036716745,-1.05882201453635,1.74870333063198
men,38,123.387461871139,0.107991509172781,-0.824201588083693,1.51349037814484
women,38,116.135067711777,0.124017741099478,-1.06760868988609,1.73395120259157
men,39,123.644124920632,0.109406065750542,-0.84791562178649,1.51660424194084
women,39,116.70640665885,0.125602067127941,-1.06900343459819,1.72016976677016
men,40,123.944874765878,0.110897986248972,-0.862843342283193,1.5201919446339
women,40,117.305105682961,0.127179318093685,-1.06427570682807,1.70756799774174
men,41,124.285417655735,0.112471635878537,-0.87017456393222,1.52422788225718
women,41,117.923463121245,0.12873914813666,-1.05384286950618,1.69620627700987
men,42,124.660097674009,0.114132450533857,-0.871298985883674,1.52868439415157
women,42,118.55252234786,0.130270932447743,-1.03794225990959,1.68611506207708
men,43,125.063111455643,0.115885935495071,-0.867733107611011,1.533534038456
women,43,119.183605843687,0.131763866826419,-1.01692003305326,1.67731187780025
men,44,125.487783492803,0.11773588094564,-0.861955014336537,1.53875094936958
women,44,119.811433324979,0.133208725037745,-0.991947559402779,1.6697075422153
men,45,125.926983060134,0.119685359373009,-0.856883534527983,1.54430989759792
women,45,120.432264749829,0.134596915458384,-0.964574447283813,1.66316715635283
men,46,126.373622665101,0.121736911521747,-0.855384259163653,1.55018584237195
women,46,121.042390359282,0.135919778070658,-0.93637746998113,1.65755888388814
men,47,126.823368635138,0.12387838927707,-0.859198963294912,1.55636081752058
women,47,121.639987498616,0.137171281771994,-0.909443233528315,1.65273914935581
men,48,127.27448729798,0.126082683493471,-0.869024784456655,1.56282351305789
women,48,122.225032685767,0.138347985335348,-0.886332256464541,1.64855323757709
men,49,127.72531903698,0.128320094395784,-0.885508348862114,1.56956276960741
women,49,122.797583611834,0.139446660606121,-0.869616990107994,1.64484861914524
