age,sex,pop
0,1,1490241
0,2,1422737
1,1,1491517
1,2,1424577
2,1,1485214
2,2,1419043
3,1,1480374
3,2,1415090
4,1,1501991
4,2,1436386
5,1,1511871
5,2,1446494
6,1,1523426
6,2,1458354
7,1,1562307
7,2,1496529
8,1,1581006
8,2,1515484
9,1,1586069
9,2,1521605
10,1,1601082
10,2,1537272
11,1,1626693
11,2,1563296
12,1,1691282
12,2,1626961
13,1,1722835
13,2,1660098
14,1,1763973
14,2,1701833
15,1,1787294
15,2,1728852
16,1,1783515
16,2,1732875
17,1,1763101
17,2,1722257
18,1,1745156
18,2,1713083
19,1,1725144
19,2,1701532
20,1,1712267
20,2,1696274
21,1,1713546
21,2,1703180
22,1,1723814
22,2,1717502
23,1,1730258
23,2,1727821
24,1,1735017
24,2,1735540
25,1,1737872
25,2,1743129
26,1,1737566
26,2,1750485
27,1,1734087
27,2,1756487
28,1,1729241
28,2,1760702
29,1,1723377
29,2,1763931
30,1,1709881
30,2,1758384
31,1,1685942
31,2,1740547
32,1,1654581
32,2,1713937
33,1,1622788
33,2,1686914
34,1,1590561
34,2,1659320
35,1,1554056
35,2,1626574
36,1,1512692
36,2,1587940
37,1,1469178
37,2,1546267
38,1,1425553
38,2,1504149
39,1,1380156
39,2,1460014
40,1,1343743
40,2,1424502
41,1,1321934
41,2,1403193
42,1,1309790
42,2,1391250
43,1,1296708
43,2,1378037
44,1,1284914
44,2,1365438
45,1,1268566
45,2,1350137
46,1,1244580
46,2,1329849
47,1,1216022
47,2,1306378
48,1,1189377
48,2,1284122
49,1,1163822
49,2,1262748
50,1,1134065
50,2,1236624
51,1,1099462
51,2,1204369
52,1,1062463
52,2,1168398
53,1,1026327
53,2,1132760
54,1,990929
54,2,1097018
55,1,953004
55,2,1059420
56,1,912922
56,2,1020563
57,1,872744
57,2,981602
58,1,833951
58,2,943070
59,1,796366
59,2,905082
60,1,758086
60,2,866117
61,1,720059
61,2,826807
62,1,683657
62,2,788382
63,1,649497
63,2,751810
64,1,617978
64,2,717519
65,1,583416
65,2,680674
66,1,545309
66,2,640808
67,1,507269
67,2,601067
68,1,472691
68,2,564296
69,1,440455
69,2,529328
70,1,409469
70,2,496952
71,1,381866
71,2,469764
72,1,358504
72,2,447557
73,1,338179
73,2,427877
74,1,321575
74,2,411776
75,1,300294
75,2,390418
76,1,273137
76,2,361991
77,1,245108
77,2,331689
78,1,221487
78,2,305698
79,1,200972
79,2,282590
80,1,1274110
80,2,2051722
