year,agegroup,sex,race3,educ,deaths,pop,mortality_rate
2000,00-04,1,1,1,19461.1563760972,4123196.23883078,0.00471991999624443
2000,00-04,1,1,2,0,0,0
2000,00-04,1,2,1,25038.5331547335,4796032.76116922,0.00522067600485476
2000,00-04,1,2,2,0,0,0
2000,00-04,2,1,1,14995.4926907916,3847338.25346731,0.00389762784108658
2000,00-04,2,1,2,0,0,0
2000,00-04,2,2,1,19759.3886620337,4751141.74653269,0.00415887163889685
2000,00-04,2,2,2,0,0,0
2000,05-09,1,1,1,1624.13191422857,4355700.99215786,0.000372874978597637
2000,05-09,1,1,2,0,9883.44957861411,0
2000,05-09,1,2,1,1608.25694063084,4307601.42529359,0.000373353238112375
2000,05-09,1,2,2,0,10763.1329699422,0
2000,05-09,2,1,1,1038.99005395708,4108297.98246018,0.000252900363701198
2000,05-09,2,1,2,0,11140.2943141681,0
2000,05-09,2,2,1,1115.27953344344,4367893.67846235,0.000255335778648361
2000,05-09,2,2,2,0,11168.0447633081,0
2000,10-14,1,1,1,1941.54614798538,2647977.91169304,0.000733218407680755
2000,10-14,1,1,2,0,1961714.31175523,0
2000,10-14,1,2,1,1903.7084642244,1606015.34386547,0.00118536131768356
2000,10-14,1,2,2,0,2763926.43268626,0
2000,10-14,2,1,1,1218.90808454335,2149901.79913711,0.000566959888601692
2000,10-14,2,1,2,0,2244313.08803533,0
2000,10-14,2,2,1,1256.99896218533,1409697.09437125,0.000891680182362848
2000,10-14,2,2,2,0,2993359.01845631,0
2000,15-19,1,1,1,3182.4866205857,1159937.29208224,0.00274367126767061
2000,15-19,1,1,2,5228.74953376628,3466466.710872,0.00150838013743711
2000,15-19,1,2,1,1812.88949805024,477892.843797196,0.00379350626731623
2000,15-19,1,2,2,4792.59492425162,4006049.15324857,0.00119633952078826
2000,15-19,2,1,1,769.898194583713,737626.647462855,0.00104375051692053
2000,15-19,2,1,2,1320.60184435653,3587208.13607622,0.000368141962847197
2000,15-19,2,2,1,671.101835751738,355060.331122146,0.00189010648875013
2000,15-19,2,2,2,1576.9968757472,4330855.88533878,0.0003641305362032
2000,20-24,1,1,1,5188.90764660047,1060345.08224444,0.00489360278412108
2000,20-24,1,1,2,6820.58291420764,2986568.86646167,0.00228375209786751
2000,20-24,1,2,1,2865.87378463998,490040.271959369,0.00584824135612593
2000,20-24,1,2,2,6766.14322732638,3631332.77933452,0.00186326719099711
2000,20-24,2,1,1,1009.51719927265,720249.784834211,0.00140162096612778
2000,20-24,2,1,2,1433.69965548079,3075240.44347132,0.000466207336250572
2000,20-24,2,2,1,821.415558853085,392890.551997402,0.00209069817198994
2000,20-24,2,2,2,1857.51927513368,4033885.21969707,0.000460478961092793
