year,agegroup,sex,race3,educ,deaths,pop,mortality_rate
2000,00-04,1,1,1,4.00766435414602,4123196.23883078,9.71980017929604e-07
2000,00-04,1,1,2,0,0,0
2000,00-04,1,2,1,0,4796032.76116922,0
2000,00-04,1,2,2,0,0,0
2000,00-04,2,1,1,0,3847338.25346731,0
2000,00-04,2,1,2,0,0,0
2000,00-04,2,2,1,1.00121610117962,4751141.74653269,2.10731684002122e-07
2000,00-04,2,2,2,0,0,0
2000,05-09,1,1,1,0,4355700.99215786,0
2000,05-09,1,1,2,0,9883.44957861411,0
2000,05-09,1,2,1,0,4307601.42529359,0
2000,05-09,1,2,2,0,10763.1329699422,0
2000,05-09,2,1,1,0,4108297.98246018,0
2000,05-09,2,1,2,0,11140.2943141681,0
2000,05-09,2,2,1,1.00121610117962,4367893.67846235,2.29221719868438e-07
2000,05-09,2,2,2,0,11168.0447633081,0
2000,10-14,1,1,1,1.0019160885365,2647977.91169304,3.78370259099295e-07
2000,10-14,1,1,2,0,1961714.31175523,0
2000,10-14,1,2,1,1.0019160885365,1606015.34386547,6.23852127168985e-07
2000,10-14,1,2,2,0,2763926.43268626,0
2000,10-14,2,1,1,0,2149901.79913711,0
2000,10-14,2,1,2,0,2244313.08803533,0
2000,10-14,2,2,1,2.00243220235924,1409697.09437125,1.4204698373535e-06
2000,10-14,2,2,2,0,2993359.01845631,0
2000,15-19,1,1,1,4.46800417860874,1159937.29208224,3.85193597025239e-06
2000,15-19,1,1,2,13.4040125358262,3466466.710872,3.86676511093753e-06
2000,15-19,1,2,1,6.55307279529282,477892.843797196,1.37124313124759e-05
2000,15-19,1,2,2,19.6592183858784,4006049.15324857,4.90738321818555e-06
2000,15-19,2,1,1,1.66869350196603,737626.647462855,2.26224677173158e-06
2000,15-19,2,1,2,1.66869350196603,3587208.13607622,4.65178890843867e-07
2000,15-19,2,2,1,2.22492466928804,355060.331122146,6.26632849199544e-06
2000,15-19,2,2,2,4.44984933857608,4330855.88533878,1.02747573606412e-06
2000,20-24,1,1,1,22.858530019944,1060345.08224444,2.15576328901901e-05
2000,20-24,1,1,2,22.858530019944,2986568.86646167,7.65377630385116e-06
2000,20-24,1,2,1,23.3483556632285,490040.271959369,4.76457895386287e-05
2000,20-24,1,2,2,19.103200088096,3631332.77933452,5.26065806934854e-06
2000,20-24,2,1,1,3.05768218836442,720249.784834211,4.24530802056157e-06
2000,20-24,2,1,2,10.7018876592755,3075240.44347132,3.48001655675263e-06
2000,20-24,2,2,1,9.97946824114542,392890.551997402,2.54001227324281e-05
2000,20-24,2,2,2,13.3059576548606,4033885.21969707,3.29854642117452e-06
2000,25-29,1,1,1,42.8248459786685,969947.849971975,4.41516994752922e-05
2000,25-29,1,1,2,60.6685318031137,2367013.40717604,2.56308357270753e-05
2000,25-29,1,2,1,27.988775123375,506290.745256713,5.52820200361029e-05
