year,agegroup,sex,race3,educ,deaths,pop,mortality_rate
2000,00-04,1,1,1,0.500348383500557,4123196.23883078,1.21349641035383e-07
2000,00-04,1,1,2,0,0,0
2000,00-04,1,2,1,0.500348383500557,4796032.76116922,1.04325472409529e-07
2000,00-04,1,2,2,0,0,0
2000,00-04,2,1,1,0,3847338.25346731,0
2000,00-04,2,1,2,0,0,0
2000,00-04,2,2,1,0,4751141.74653269,0
2000,00-04,2,2,2,0,0,0
2000,05-09,1,1,1,0,4355700.99215786,0
2000,05-09,1,1,2,0,9883.44957861411,0
2000,05-09,1,2,1,0,4307601.42529359,0
2000,05-09,1,2,2,0,10763.1329699422,0
2000,05-09,2,1,1,0,4108297.98246018,0
2000,05-09,2,1,2,0,11140.2943141681,0
2000,05-09,2,2,1,0,4367893.67846235,0
2000,05-09,2,2,2,0,11168.0447633081,0
2000,10-14,1,1,1,0,2647977.91169304,0
2000,10-14,1,1,2,0,1961714.31175523,0
2000,10-14,1,2,1,1.00069676700111,1606015.34386547,6.2309290557123e-07
2000,10-14,1,2,2,0,2763926.43268626,0
2000,10-14,2,1,1,0,2149901.79913711,0
2000,10-14,2,1,2,0,2244313.08803533,0
2000,10-14,2,2,1,0,1409697.09437125,0
2000,10-14,2,2,2,0,2993359.01845631,0
2000,15-19,1,1,1,1.66782794500186,1159937.29208224,1.43786043985868e-06
2000,15-19,1,1,2,3.33565589000372,3466466.710872,9.6226393276531e-07
2000,15-19,1,2,1,0,477892.843797196,0
2000,15-19,1,2,2,0,4006049.15324857,0
2000,15-19,2,1,1,0,737626.647462855,0
2000,15-19,2,1,2,0,3587208.13607622,0
2000,15-19,2,2,1,0.500398194850013,355060.331122146,1.40933286821577e-06
2000,15-19,2,2,2,0.500398194850013,4330855.88533878,1.15542564356392e-07
2000,20-24,1,1,1,0,1060345.08224444,0
2000,20-24,1,1,2,5.14644051600573,2986568.86646167,1.72319499268837e-06
2000,20-24,1,2,1,0,490040.271959369,0
2000,20-24,1,2,2,3.8598303870043,3631332.77933452,1.062923896419e-06
2000,20-24,2,1,1,0,720249.784834211,0
2000,20-24,2,1,2,7.6060525617202,3075240.44347132,2.47331963192268e-06
2000,20-24,2,2,1,1.90151314043005,392890.551997402,4.83980368263634e-06
2000,20-24,2,2,2,9.50756570215025,4033885.21969707,2.3569251935394e-06
2000,25-29,1,1,1,4.4148386779461,969947.849971975,4.55162478897567e-06
2000,25-29,1,1,2,4.4148386779461,2367013.40717604,1.86515153000896e-06
2000,25-29,1,2,1,5.39591393971189,506290.745256713,1.06577376542325e-05
2000,25-29,1,2,2,10.7918278794238,3077140.99759528,3.50709567350257e-06
2000,25-29,2,1,1,5.61653835943722,730330.299672133,7.69040852058124e-06
2000,25-29,2,1,2,1.87217945314574,2493302.48559535,7.50883402219327e-07
