year,agegroup,sex,race3,educ,deaths,pop,mortality_rate
2000,00-04,1,1,1,30.2823138621168,4123196.23883078,7.34437851318568e-06
2000,00-04,1,1,2,0,0,0
2000,00-04,1,2,1,19.7999744483071,4796032.76116922,4.12840683838034e-06
2000,00-04,1,2,2,0,0,0
2000,00-04,2,1,1,16.6370505761987,3847338.25346731,4.32430149888822e-06
2000,00-04,2,1,2,0,0,0
2000,00-04,2,2,1,37.433363796447,4751141.74653269,7.87881435525792e-06
2000,00-04,2,2,2,0,0,0
2000,05-09,1,1,1,14.7861994059347,4355700.99215786,3.39467732807101e-06
2000,05-09,1,1,2,0,9883.44957861411,0
2000,05-09,1,2,1,16.2648193465282,4307601.42529359,3.77584129558125e-06
2000,05-09,1,2,2,0,10763.1329699422,0
2000,05-09,2,1,1,8.15347518317672,4108297.98246018,1.98463578299015e-06
2000,05-09,2,1,2,0,11140.2943141681,0
2000,05-09,2,2,1,10.8713002442356,4367893.67846235,2.48891137113546e-06
2000,05-09,2,2,2,0,11168.0447633081,0
2000,10-14,1,1,1,19.9246292953903,2647977.91169304,7.52446959901228e-06
2000,10-14,1,1,2,0,1961714.31175523,0
2000,10-14,1,2,1,26.1510759501998,1606015.34386547,1.62832042981965e-05
2000,10-14,1,2,2,0,2763926.43268626,0
2000,10-14,2,1,1,15.3533275379117,2149901.79913711,7.1414087583321e-06
2000,10-14,2,1,2,0,2244313.08803533,0
2000,10-14,2,2,1,30.7066550758234,1409697.09437125,2.17824490086781e-05
2000,10-14,2,2,2,0,2993359.01845631,0
2000,15-19,1,1,1,15.8360195637561,1159937.29208224,1.36524790364558e-05
2000,15-19,1,1,2,23.7540293456341,3466466.710872,6.85251909996237e-06
2000,15-19,1,2,1,12.4980350478663,477892.843797196,2.6152379576477e-05
2000,15-19,1,2,2,41.0649723001321,4006049.15324857,1.02507409992291e-05
2000,15-19,2,1,1,9.99246495953128,737626.647462855,1.35467787042421e-05
2000,15-19,2,1,2,29.9773948785939,3587208.13607622,8.35674812875059e-06
2000,15-19,2,2,1,6.98744688117068,355060.331122146,1.96796044747868e-05
2000,15-19,2,2,2,47.1652664479021,4330855.88533878,1.08905185710682e-05
2000,20-24,1,1,1,24.8940954350905,1060345.08224444,2.34773526580583e-05
2000,20-24,1,1,2,39.41565110556,2986568.86646167,1.31976367758288e-05
2000,20-24,1,2,1,14.7491014145936,490040.271959369,3.00977333059201e-05
2000,20-24,1,2,2,42.1402897559818,3631332.77933452,1.16046345286219e-05
2000,20-24,2,1,1,22.6242240586793,720249.784834211,3.14116359838789e-05
