age,sex,race3,educ,year,pop
0,1,1,1,2000,713600.00844971
0,1,1,2,2000,0
0,1,2,1,2000,1038081.99155029
0,1,2,2,2000,0
0,2,1,1,2000,675392.138405719
0,2,1,2,2000,0
0,2,2,1,2000,1002754.86159428
0,2,2,2,2000,0
1,1,1,1,2000,796569.576577856
1,1,1,2,2000,0
1,1,2,1,2000,986052.423422144
1,1,2,2,2000,0
1,2,1,1,2000,748025.599330596
1,2,1,2,2000,0
1,2,2,1,2000,965527.400669404
1,2,2,2,2000,0
2,1,1,1,2000,858610.083901419
2,1,1,2,2000,0
2,1,2,1,2000,946145.916098581
2,1,2,2,2000,0
2,2,1,1,2000,795654.754814966
2,2,1,2,2000,0
2,2,2,1,2000,942956.245185035
2,2,2,2,2000,0
3,1,1,1,2000,876973.43515212
3,1,1,2,2000,0
3,1,2,1,2000,923614.56484788
3,1,2,2,2000,0
3,2,1,1,2000,813850.558162274
3,2,1,2,2000,0
3,2,2,1,2000,926699.441837726
3,2,2,2,2000,0
4,1,1,1,2000,877443.134749676
4,1,1,2,2000,0
4,1,2,1,2000,902137.865250324
4,1,2,2,2000,0
4,2,1,1,2000,814415.202753751
4,2,1,2,2000,0
4,2,2,1,2000,913203.797246249
4,2,2,2,2000,0
5,1,1,1,2000,878269.533925526
5,1,1,2,2000,0
5,1,2,1,2000,882064.466074474
5,1,2,2,2000,0
5,2,1,1,2000,825136.481282428
5,2,1,2,2000,0
5,2,2,1,2000,889899.518717572
5,2,2,2,2000,0
6,1,1,1,2000,870964.3298641
6,1,1,2,2000,705.0310824083
6,1,2,1,2000,866059.847887832
6,1,2,2,2000,636.791165659816
6,2,1,1,2000,822595.927123876
6,2,1,2,2000,853.4756069792
6,2,2,1,2000,875252.49330024
6,2,2,2,2000,374.1039689054
7,1,1,1,2000,869961.508310943
7,1,1,2,2000,1753.16003374022
7,1,2,1,2000,851404.068811345
7,1,2,2,2000,1191.26284397193
7,2,1,1,2000,821730.177426293
7,2,1,2,2000,1730.2749213479
7,2,2,1,2000,864985.987637557
7,2,2,2,2000,1090.56001480292
8,1,1,1,2000,873076.89756133
8,1,1,2,2000,1357.16050471277
8,1,2,1,2000,850025.163205874
8,1,2,2,2000,918.778728083895
8,2,1,1,2000,822684.551510557
8,2,1,2,2000,1362.1919078923
8,2,2,1,2000,867250.761528861
8,2,2,2,2000,1011.49505268973
9,1,1,1,2000,863428.72249596
9,1,1,2,2000,6068.09795775282
9,1,2,1,2000,858047.879314061
9,1,2,2,2000,8016.30023222657
9,2,1,1,2000,816150.845117023
9,2,1,2,2000,7194.35187794874
9,2,2,1,2000,870504.917278118
9,2,2,2,2000,8691.88572691004
10,1,1,1,2000,835997.966698499
