year,agegroup,sex,race3,educ,deaths,pop,mortality_rate
2000,00-04,1,1,1,0,4123196.23883078,0
2000,00-04,1,1,2,0,0,0
2000,00-04,1,2,1,0,4796032.76116922,0
2000,00-04,1,2,2,0,0,0
2000,00-04,2,1,1,0,3847338.25346731,0
2000,00-04,2,1,2,0,0,0
2000,00-04,2,2,1,0,4751141.74653269,0
2000,00-04,2,2,2,0,0,0
2000,05-09,1,1,1,1625.76881846166,4365584.44173647,0.000372405766091421
2000,05-09,1,1,2,0,0,0
2000,05-09,1,2,1,1609.87784504812,4318364.55826353,0.000372798040398765
2000,05-09,1,2,2,0,0,0
2000,05-09,2,1,1,1040.03731968573,4119438.27677434,0.000252470664641227
2000,05-09,2,1,2,0,0,0
2000,05-09,2,2,1,1116.40369630601,4379061.72322566,0.000254941301782715
2000,05-09,2,2,2,0,0,0
2000,10-14,1,1,1,1943.5029626262,4609692.22344827,0.000421612304773867
2000,10-14,1,1,2,0,0,0
2000,10-14,1,2,1,1905.62714362252,4369941.77655173,0.000436076094617038
2000,10-14,1,2,2,0,0,0
2000,10-14,2,1,1,1220.1367013703,4394214.88717244,0.000277668874349343
2000,10-14,2,1,2,0,0,0
2000,10-14,2,2,1,1258.26597328812,4403056.11282756,0.00028577105107118
2000,10-14,2,2,2,0,0,0
2000,15-19,1,1,1,8285.28113620648,4614783.16344655,0.00179537821014728
2000,15-19,1,1,2,134.432401014452,11620.8395076851,0.0115682176770059
2000,15-19,1,2,1,6241.07028975144,4419484.57177352,0.00141217153004947
2000,15-19,1,2,2,371.071563093942,64457.4252722453,0.00575684743110149
2000,15-19,2,1,1,2040.02000763229,4307932.82501727,0.000473549632850673
2000,15-19,2,1,2,52.5871824189657,16901.9585218047,0.00311130703291721
2000,15-19,2,2,1,2104.16503515181,4590011.02173972,0.000458422654147415
2000,15-19,2,2,2,146.199681422157,95905.1947212048,0.00152441879553196
2000,20-24,1,1,1,11687.7114472494,3944340.39854518,0.00296315993709881
2000,20-24,1,1,2,333.883047829083,102573.550160928,0.00325505987952306
2000,20-24,1,2,1,8867.41285588719,3624886.63741829,0.00244625935728648
2000,20-24,1,2,2,774.311920135753,496486.413875609,0.00155958330076229
2000,20-24,2,1,1,2286.21900158583,3653258.65516628,0.000625802664794283
2000,20-24,2,1,2,159.460530524235,142231.573139253,0.00112113314227436
2000,20-24,2,2,1,2334.05034735003,3750384.46058185,0.000622349620920708
2000,20-24,2,2,2,347.58475949328,676391.311112619,0.000513881171716304
2000,25-29,1,1,1,10237.100424158,3220916.9351614,0.00317831866832822
2000,25-29,1,1,2,330.408680961038,116044.32198661,0.00284726279842595
2000,25-29,1,2,1,8556.85701219161,3102691.26663319,0.00275788219866196
2000,25-29,1,2,2,710.591169273303,480740.476218801,0.00147811803753735
2000,25-29,2,1,1,2512.52677454361,3069385.9276727,0.00081857636470259
2000,25-29,2,1,2,143.191115570494,154246.857594782,0.000928324361373172
2000,25-29,2,2,1,2656.13948270894,3286834.17723663,0.000808114842271131
2000,25-29,2,2,2,409.23079239411,629206.037495891,0.000650392348463094
2000,30-34,1,1,1,10333.9317709737,2921419.18321505,0.00353729852612286
2000,30-34,1,1,2,397.534233372684,117476.876053657,0.00338393602832196
2000,30-34,1,2,1,9402.75705839889,2996522.50721988,0.00313788968237138
2000,30-34,1,2,2,823.94282589767,467982.433511412,0.0017606276793669
2000,30-34,2,1,1,3347.98787256987,2845367.36283439,0.00117664520803205
