year,agegroup,sex,race3,educ,deaths,pop,mortality_rate
2000,00-04,1,1,1,0,4123196.23883078,0
2000,00-04,1,1,2,0,0,0
2000,00-04,1,2,1,0,4796032.76116922,0
2000,00-04,1,2,2,0,0,0
2000,00-04,2,1,1,0,3847338.25346731,0
2000,00-04,2,1,2,0,0,0
2000,00-04,2,2,1,0,4751141.74653269,0
2000,00-04,2,2,2,0,0,0
2000,05-09,1,1,1,0,4365584.44173647,0
2000,05-09,1,1,2,0,0,0
2000,05-09,1,2,1,0,4318364.55826353,0
2000,05-09,1,2,2,0,0,0
2000,05-09,2,1,1,0,4119438.27677434,0
2000,05-09,2,1,2,0,0,0
2000,05-09,2,2,1,1.00139475654283,4379061.72322566,2.28677926879093e-07
2000,05-09,2,2,2,0,0,0
2000,10-14,1,1,1,1.00209494280983,4609692.22344827,2.17388687624835e-07
2000,10-14,1,1,2,0,0,0
2000,10-14,1,2,1,1.00209494280983,4369941.77655173,2.29315399163182e-07
2000,10-14,1,2,2,0,0,0
2000,10-14,2,1,1,0,4394214.88717244,0
2000,10-14,2,1,2,0,0,0
2000,10-14,2,2,1,2.00278951308566,4403056.11282756,4.54863499752109e-07
2000,10-14,2,2,2,0,0,0
2000,15-19,1,1,1,17.8752070879591,4614783.16344655,3.87346630488462e-06
2000,15-19,1,1,2,0,11620.8395076851,0
2000,15-19,1,2,1,24.0322228627005,4419484.57177352,5.43778860914917e-06
2000,15-19,1,2,2,2.18474753297277,64457.4252722453,3.38944275813869e-05
2000,15-19,2,1,1,3.33798252180943,4307932.82501727,7.74845536686392e-07
2000,15-19,2,1,2,0,16901.9585218047,0
2000,15-19,2,2,1,4.45064336241258,4590011.02173972,9.69636748437627e-07
2000,15-19,2,2,2,2.22532168120629,95905.1947212048,2.32033487620277e-05
2000,20-24,1,1,1,45.7252210941373,3944340.39854518,1.15926153612407e-05
2000,20-24,1,1,2,0,102573.550160928,0
2000,20-24,1,2,1,33.967307098502,3624886.63741829,9.37058465439187e-06
2000,20-24,1,2,2,8.49182677462549,496486.413875609,1.71038452156982e-05
2000,20-24,2,1,1,14.7983891800218,3653258.65516628,4.05073677416588e-06
2000,20-24,2,1,2,0,142231.573139253,0
2000,20-24,2,2,1,21.5935678851339,3750384.46058185,5.75769447428431e-06
2000,20-24,2,2,2,1.66104368347184,676391.311112619,2.45574367408642e-06
2000,25-29,1,1,1,98.1577912730746,3220916.9351614,3.04751079425635e-05
2000,25-29,1,1,2,5.3540613421677,116044.32198661,4.61380725097906e-05
2000,25-29,1,2,1,76.5163086627556,3102691.26663319,2.46612705187988e-05
2000,25-29,1,2,2,22.395017169587,480740.476218801,4.65844219020873e-05
2000,25-29,2,1,1,30.2170867786799,3069385.9276727,9.84466844206567e-06
2000,25-29,2,1,2,1.77747569286352,154246.857594782,1.15235779877804e-05
2000,25-29,2,2,1,34.7595246604422,3286834.17723663,1.05753812897449e-05
2000,25-29,2,2,2,4.34494058255528,629206.037495891,6.90543371110556e-06
2000,30-34,1,1,1,185.387564419818,2921419.18321505,6.34580499385223e-05
2000,30-34,1,1,2,17.9407320406275,117476.876053657,0.000152717135859428
2000,30-34,1,2,1,217.262292406612,2996522.50721988,7.25048091189493e-05
2000,30-34,1,2,2,22.3353758548854,467982.433511412,4.77269535253629e-05
2000,30-34,2,1,1,70.9409873531049,2845367.36283439,2.49321013095609e-05
2000,30-34,2,1,2,2.02688535294585,150596.778663201,1.3459021972036e-05
