year,agegroup,sex,race3,educ,deaths,pop,mortality_rate
2000,00-04,1,1,1,0,4123196.23883078,0
2000,00-04,1,1,2,0,0,0
2000,00-04,1,2,1,0,4796032.76116922,0
2000,00-04,1,2,2,0,0,0
2000,00-04,2,1,1,0,3847338.25346731,0
2000,00-04,2,1,2,0,0,0
2000,00-04,2,2,1,0,4751141.74653269,0
2000,00-04,2,2,2,0,0,0
2000,05-09,1,1,1,0,4365584.44173647,0
2000,05-09,1,1,2,0,0,0
2000,05-09,1,2,1,0,4318364.55826353,0
2000,05-09,1,2,2,0,0,0
2000,05-09,2,1,1,0,4119438.27677434,0
2000,05-09,2,1,2,0,0,0
2000,05-09,2,2,1,0,4379061.72322566,0
2000,05-09,2,2,2,0,0,0
2000,10-14,1,1,1,0,4609692.22344827,0
2000,10-14,1,1,2,0,0,0
2000,10-14,1,2,1,1.00069676700111,4369941.77655173,2.28995446202662e-07
2000,10-14,1,2,2,0,0,0
2000,10-14,2,1,1,0,4394214.88717244,0
2000,10-14,2,1,2,0,0,0
2000,10-14,2,2,1,0,4403056.11282756,0
2000,10-14,2,2,2,0,0,0
2000,15-19,1,1,1,5.00348383500558,4614783.16344655,1.08422945516442e-06
2000,15-19,1,1,2,0,11620.8395076851,0
2000,15-19,1,2,1,0,4419484.57177352,0
2000,15-19,1,2,2,0,64457.4252722453,0
2000,15-19,2,1,1,0,4307932.82501727,0
2000,15-19,2,1,2,0,16901.9585218047,0
2000,15-19,2,2,1,0.500398194850013,4590011.02173972,1.0901895278246e-07
2000,15-19,2,2,2,0.500398194850013,95905.1947212048,5.21763389673171e-06
2000,20-24,1,1,1,5.14644051600573,3944340.39854518,1.30476581531957e-06
2000,20-24,1,1,2,0,102573.550160928,0
2000,20-24,1,2,1,3.8598303870043,3624886.63741829,1.064814095746e-06
2000,20-24,1,2,2,0,496486.413875609,0
2000,20-24,2,1,1,7.6060525617202,3653258.65516628,2.08199125210148e-06
2000,20-24,2,1,2,0,142231.573139253,0
2000,20-24,2,2,1,11.4090788425803,3750384.46058185,3.04210913907484e-06
2000,20-24,2,2,2,0,676391.311112619,0
2000,25-29,1,1,1,7.35806446324349,3220916.9351614,2.28446265810788e-06
2000,25-29,1,1,2,1.4716128926487,116044.32198661,1.26814726257654e-05
2000,25-29,1,2,1,12.5904658593278,3102691.26663319,4.05791771637982e-06
2000,25-29,1,2,2,3.59727595980793,480740.476218801,7.48278153756017e-06
2000,25-29,2,1,1,5.61653835943722,3069385.9276727,1.82985733686993e-06
2000,25-29,2,1,2,1.87217945314574,154246.857594782,1.21375532852935e-05
2000,25-29,2,2,1,16.6136260716126,3286834.17723663,5.05459818650795e-06
2000,25-29,2,2,2,6.92234419650526,629206.037495891,1.1001712927064e-05
2000,30-34,1,1,1,25.8304852982163,2921419.18321505,8.84175932253226e-06
2000,30-34,1,1,2,0,117476.876053657,0
2000,30-34,1,2,1,26.2189136485654,2996522.50721988,8.74978031548005e-06
2000,30-34,1,2,2,6.99171030628411,467982.433511412,1.49401127171018e-05
2000,30-34,2,1,1,11.8250126612783,2845367.36283439,4.15588258153736e-06
2000,30-34,2,1,2,3.37857504607952,150596.778663201,2.24345771275458e-05
2000,30-34,2,2,1,26.4062312812005,3198325.87435939,8.25626665903439e-06
2000,30-34,2,2,2,9.43079688614303,601157.98414302,1.56877179292347e-05
2000,35-39,1,1,1,51.8090328731827,2585502.68198228,2.00382823944554e-05
