age,sex,race3,educ,year,pop
0,1,0,0,2000,12199.425176091
0,1,0,1,2000,0
0,1,0,2,2000,0
0,1,1,0,2000,701400.583273619
0,1,1,1,2000,0
0,1,1,2,2000,0
0,1,2,0,2000,1038081.99155029
0,1,2,1,2000,0
0,1,2,2,2000,0
0,2,0,0,2000,11330.133317833
0,2,0,1,2000,0
0,2,0,2,2000,0
0,2,1,0,2000,664062.005087886
0,2,1,1,2000,0
0,2,1,2,2000,0
0,2,2,0,2000,1002754.86159428
0,2,2,1,2000,0
0,2,2,2,2000,0
1,1,0,0,2000,13314.8842089278
1,1,0,1,2000,0
1,1,0,2,2000,0
1,1,1,0,2000,783254.692368928
1,1,1,1,2000,0
1,1,1,2,2000,0
1,1,2,0,2000,986052.423422144
1,1,2,1,2000,0
1,1,2,2,2000,0
1,2,0,0,2000,13323.4036176194
1,2,0,1,2000,0
1,2,0,2,2000,0
1,2,1,0,2000,734702.195712977
1,2,1,1,2000,0
1,2,1,2,2000,0
1,2,2,0,2000,965527.400669404
1,2,2,1,2000,0
1,2,2,2,2000,0
2,1,0,0,2000,14032.973221571
2,1,0,1,2000,0
2,1,0,2,2000,0
2,1,1,0,2000,844577.110679848
2,1,1,1,2000,0
2,1,1,2,2000,0
2,1,2,0,2000,946145.916098581
2,1,2,1,2000,0
2,1,2,2,2000,0
2,2,0,0,2000,13373.3758658005
2,2,0,1,2000,0
2,2,0,2,2000,0
2,2,1,0,2000,782281.378949165
2,2,1,1,2000,0
2,2,1,2,2000,0
2,2,2,0,2000,942956.245185035
2,2,2,1,2000,0
2,2,2,2,2000,0
3,1,0,0,2000,13602.8552707012
3,1,0,1,2000,0
3,1,0,2,2000,0
3,1,1,0,2000,863370.579881419
3,1,1,1,2000,0
3,1,1,2,2000,0
3,1,2,0,2000,923614.56484788
3,1,2,1,2000,0
3,1,2,2,2000,0
3,2,0,0,2000,12671.1594934563
3,2,0,1,2000,0
3,2,0,2,2000,0
3,2,1,0,2000,801179.398668817
3,2,1,1,2000,0
3,2,1,2,2000,0
3,2,2,0,2000,926699.441837726
3,2,2,1,2000,0
3,2,2,2,2000,0
4,1,0,0,2000,13243.6183324498
4,1,0,1,2000,0
4,1,0,2,2000,0
4,1,1,0,2000,864199.516417226
4,1,1,1,2000,0
4,1,1,2,2000,0
4,1,2,0,2000,902137.865250324
4,1,2,1,2000,0
4,1,2,2,2000,0
4,2,0,0,2000,13779.4816286768
4,2,0,1,2000,0
4,2,0,2,2000,0
4,2,1,0,2000,800635.721125074
4,2,1,1,2000,0
4,2,1,2,2000,0
4,2,2,0,2000,913203.797246249
4,2,2,1,2000,0
4,2,2,2,2000,0
5,1,0,0,2000,13898.1744659983
5,1,0,1,2000,0
5,1,0,2,2000,0
5,1,1,0,2000,864371.359459528
5,1,1,1,2000,0
5,1,1,2,2000,0
5,1,2,0,2000,882064.466074474
5,1,2,1,2000,0
5,1,2,2,2000,0
5,2,0,0,2000,12447.1110170614
5,2,0,1,2000,0
5,2,0,2,2000,0
5,2,1,0,2000,812689.370265367
5,2,1,1,2000,0
5,2,1,2,2000,0
5,2,2,0,2000,889899.518717572
5,2,2,1,2000,0
5,2,2,2,2000,0
6,1,0,0,2000,12620.5778478027
6,1,0,1,2000,14.1423394636931
6,1,0,2,2000,0
6,1,1,0,2000,858343.752016298
6,1,1,1,2000,690.888742944607
6,1,1,2,2000,0
6,1,2,0,2000,866059.847887832
6,1,2,1,2000,636.791165659816
6,1,2,2,2000,0
6,2,0,0,2000,12920.1974943296
6,2,0,1,2000,6.86573990880599
6,2,0,2,2000,0
6,2,1,0,2000,809675.729629546
