age,sex,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
0,men,1486185,1489875,1494652,1490241,1510117,1540799,1509051,1497227,1524054,1515249,1505665,1495092,1482939,1469396,1455357,1440908,1426287,1411630,1396875,1382460,1368777,1355232,1341550,1328470,1316162,1304551,1293247,1282187,1271809,1261963,1252551,1243522,1235167,1227528,1220040,1212592,1205236,1198154,1191211,1183924,1176146,1168162,1160184,1151840,1142904,1133403,1123734,1114207,1104418,1094335,1084145
1,men,1505037,1482606,1486525,1491517,1487285,1507283,1538105,1506552,1494869,1521777,1513074,1503576,1493084,1481012,1467542,1453582,1439203,1424650,1410057,1395359,1380996,1367360,1353864,1340227,1327187,1314917,1303339,1292062,1281040,1270687,1260871,1251481,1242474,1234137,1226524,1219052,1211626,1204287,1197217,1190292,1183020,1175256,1167290,1159325,1150996,1142072,1132583,1122927,1113415,1103633,1093566
2,men,1514121,1503620,1481256,1485214,1490235,1486049,1506069,1536928,1505463,1493811,1520716,1512039,1502556,1492085,1480036,1466598,1452671,1438318,1423795,1409231,1394560,1380218,1366606,1353128,1339514,1326493,1314243,1302688,1291422,1280418,1270074,1260276,1250901,1241912,1233583,1225982,1218513,1211099,1203773,1196714,1189800,1182536,1174776,1166825,1158861,1150541,1141624,1132145,1122502,1112992,1103216
3,men,1525255,1513165,1502699,1480374,1484357,1489399,1485242,1505292,1536188,1504762,1493119,1520011,1511348,1501867,1491415,1479390,1465967,1452058,1437720,1423223,1408673,1394019,1379690,1366096,1352631,1339030,1326022,1313787,1302237,1290981,1279993,1269664,1259871,1250501,1241522,1233201,1225608,1218147,1210738,1203419,1196364,1189455,1182202,1174443,1166506,1158542,1150227,1141315,1131844,1122208,1112700
4,men,1563918,1524495,1512435,1501991,1479696,1483696,1488756,1484643,1504727,1535624,1504215,1492581,1519459,1510804,1501328,1490886,1478878,1465477,1451585,1437255,1422772,1408233,1393597,1379274,1365698,1352240,1338651,1325649,1313429,1301887,1290634,1279655,1269338,1259554,1250192,1241216,1232902,1225310,1217859,1210453,1203141,1196093,1189187,1181937,1174180,1166251,1158288,1149981,1141070,1131602,1121978
5,men,1582546,1563308,1523910,1511871,1501444,1479177,1483191,1488290,1484214,1504300,1535189,1503791,1492152,1519017,1510373,1500907,1490475,1478480,1465087,1451211,1436887,1422415,1407886,1393265,1378948,1365381,1351933,1338353,1325360,1313144,1301615,1290363,1279385,1269079,1259295,1249941,1240972,1232662,1225073,1217629,1210227,1202916,1195869,1188975,1181730,1173974,1166047,1158085,1149785,1140881,1131408
6,men,1587618,1582023,1562802,1523426,1511405,1500989,1478749,1482804,1487937,1483873,1503944,1534825,1503433,1491792,1518647,1510014,1500554,1490131,1478153,1464763,1450899,1436584,1422119,1407598,1392981,1378670,1365113,1351671,1338098,1325111,1312900,1301376,1290134,1279158,1268862,1259079,1249726,1240763,1232454,1224872,1217432,1210032,1202730,1195684,1188786,1181551,1173802,1165873,1157913,1149612,1140713
7,men,1602699,1587088,1581510,1562307,1522953,1510948,1500549,1478350,1482447,1487591,1483521,1503586,1534457,1503064,1491431,1518289,1509662,1500211,1489794,1477826,1464445,1450589,1436284,1421827,1407314,1392706,1378400,1364845,1351413,1337850,1324866,1312664,1301146,1289902,1278931,1268641,1258866,1249516,1240558,1232251,1224671,1217235,1209837,1202535,1195502,1188605,1181371,1173626,1165700,1157745,1149444
8,men,1628483,1602168,1586574,1581006,1561821,1522497,1510508,1500151,1477996,1482093,1487240,1483167,1503222,1534082,1502696,1491071,1517935,1509313,1499872,1489464,1477503,1464134,1450283,1435991,1421537,1407033,1392431,1378136,1364584,1351161,1337607,1324623,1312425,1300919,1289674,1278708,1268420,1258650,1249307,1240356,1232047,1224472,1217042,1209650,1202345,1195315,1188422,1181190,1173450,1165525,1157573
9,men,1693291,1627945,1601649,1586069,1580522,1561349,1522052,1510105,1499787,1477652,1481740,1486883,1482812,1502855,1533711,1502337,1490725,1517595,1508976,1499543,1489144,1477187,1463829,1449984,1435701,1421252,1406757,1392156,1377876,1364326,1350912,1337366,1324387,1312194,1300695,1289453,1278490,1268204,1258439,1249098,1240160,1231847,1224274,1216855,1209467,1202164,1195134,1188246,1181012,1173278,1165355
10,men,1724962,1692654,1627348,1601082,1585510,1579984,1560830,1521568,1509670,1499358,1477238,1481330,1486473,1482403,1502444,1533304,1501944,1490341,1517216,1508599,1499177,1488790,1476844,1463491,1449657,1435381,1420939,1406454,1391861,1377590,1364045,1350640,1337098,1324120,1311933,1300441,1289207,1278250,1267965,1258213,1248871,1239937,1231636,1224062,1216643,1209257,1201960,1194935,1188048,1180818,1173086
11,men,1766148,1724235,1691960,1626693,1600452,1584901,1579397,1560269,1521042,1509163,1498869,1476761,1480860,1486012,1481949,1501998,1532856,1501509,1489925,1516802,1508195,1498781,1488402,1476468,1463120,1449302,1435039,1420600,1406120,1391533,1377278,1363737,1350341,1336809,1323840,1311652,1300169,1288939,1277987,1267704,1257961,1248625,1239693,1231398,1223824,1216410,1209030,1201735,1194716,1187831,1180605
12,men,1790713,1765404,1723528,1691282,1626056,1599836,1584312,1578839,1559736,1520535,1508662,1498385,1476290,1480392,1485555,1481505,1501559,1532423,1501087,1489514,1516389,1507795,1498390,1488019,1476094,1462758,1448947,1434698,1420266,1405799,1391212,1376973,1363431,1350044,1336520,1323558,1311377,1299896,1288673,1277729,1267450,1257714,1248379,1239447,1231161,1223594,1216185,1208802,1201515,1194499,1187616
13,men,1789370,1789955,1764677,1722835,1690617,1625443,1599239,1583742,1578299,1559213,1520033,1508174,1497910,1475830,1479936,1485112,1481074,1501122,1531991,1500677,1489107,1515989,1507403,1498006,1487647,1475727,1462402,1448600,1434355,1419934,1405478,1390896,1376668,1363133,1349747,1336236,1323274,1311104,1299625,1288410,1277474,1267201,1257473,1248140,1239211,1230925,1223362,1215958,1208579,1201298,1194283
14,men,1771394,1788620,1789217,1763973,1722160,1689971,1624842,1598668,1583201,1577771,1558699,1519540,1507693,1497435,1475380,1479492,1484679,1480652,1500702,1531570,1500273,1488711,1515595,1507018,1497625,1487284,1475370,1462048,1448259,1434019,1419610,1405167,1390587,1376362,1362837,1349458,1335954,1322998,1310832,1299359,1288155,1277222,1266952,1257229,1247898,1238976,1230689,1223138,1215734,1208355,1201081
15,men,1754602,1769396,1786655,1787294,1762126,1720396,1688288,1623280,1597170,1581750,1576353,1557323,1518219,1506405,1496181,1474175,1478312,1483523,1479532,1499580,1530454,1499198,1487659,1514541,1505987,1496615,1486299,1474410,1461111,1447343,1433123,1418730,1404319,1389757,1375549,1362042,1348680,1335194,1322255,1310103,1298642,1287453,1276537,1266278,1256567,1247248,1238334,1230055,1222514,1215117,1207752
16,men,1734481,1751365,1766208,1783515,1784225,1759173,1717584,1685618,1620789,1594768,1579416,1574065,1555098,1516094,1504329,1494169,1472240,1476417,1481666,1477728,1497779,1528653,1497469,1485966,1512845,1504326,1494991,1484716,1472854,1459596,1445861,1431679,1417319,1402943,1388412,1374233,1360758,1347420,1333961,1321047,1308923,1297488,1286315,1275421,1265184,1255489,1246195,1237295,1229028,1221511,1214121
17,men,1722324,1731283,1748217,1763101,1780458,1781242,1756303,1714861,1683033,1618354,1592412,1577131,1571830,1552915,1514013,1502300,1492202,1470348,1474562,1479850,1475953,1496017,1526886,1495768,1484300,1511179,1502699,1493389,1483154,1471329,1458105,1444408,1430255,1415925,1401582,1387081,1372933,1359488,1346178,1332742,1319851,1307755,1296344,1285191,1274312,1264098,1254421,1245149,1236268,1228010,1220508
18,men,1725238,1719153,1728172,1745156,1760088,1777479,1778333,1753523,1712234,1680518,1615971,1590104,1574889,1569639,1550782,1511978,1500322,1490278,1468494,1472746,1478069,1474209,1494285,1525153,1494101,1482666,1509539,1501099,1491823,1481618,1469829,1456636,1442976,1428857,1414558,1400245,1385773,1371654,1358234,1344951,1331547,1318676,1306600,1295211,1284082,1273226,1263030,1253364,1244110,1235252,1227004
19,men,1737191,1722070,1716070,1725144,1742172,1757156,1774587,1775528,1750836,1709672,1678050,1613637,1587842,1572694,1567488,1548698,1509981,1498383,1488397,1466683,1470966,1476326,1472502,1492582,1523450,1492465,1481064,1507933,1499521,1490277,1480110,1468358,1455193,1441564,1427474,1413205,1398923,1384483,1370391,1356994,1343736,1330357,1317516,1305460,1294090,1282980,1272147,1261973,1252324,1243083,1234245
